001 第一回　　夢覺渡頭雨村遇舊　緣申石上士隱授書
002 第二回　　青埂峰故知傾肺腑　絳珠宮慧婢話悲歡
003 第三回　　誄芙蓉晴姐悄吞聲　悲芍藥湘娥初感逝
004 第四回　　哭怡紅冷麝離魂　棲櫳翠寒鵑弔夢
005 第五回　　弟讓兄赦老寵新銜　奴欺主璉兒支窘局
006 第六回　　話封狼癡顰慰紅粉　賜真人濁玉換黃冠
007 第七回　　陷情魔荒山壞丹鼎　感幽怨幻境泣冰弦
008 第八回　　薛姨媽同居護愛女　王夫人垂涕勖孤孫
009 第九回　　開吟社探春賞花　忤親庭賈環逃杖
010 第十回　　應讖盆蘭孫登鳳沼　聯輝仙桂婦誕麟兒
011 第十一回　　完丹訣飛舉跨神龍　披畫冊沉淪憫雌鳳
012 第十二回　　呆香菱密語感孤鸞　賢探春協力除群蠹
013 第十三回　　盜田契環兒通賊　饋野產巧姐寧親
014 第十四回　　大觀園續宴待披圖　太虛境賜婚驚抗表
015 第十五回　　警幻仙執柯慰莽玉　臨淮神緘札諭嬌顰
016 第十六回　　催妝得句貴姊迎妝　尋夢留香仙妃通夢
017 第十七回　　勵賢母攢金仿驕鳳　殉故主絕粒化哀鵑
018 第十八回　　真威烈策傳細柳軍　續風流宴啟芙蓉社
019 第十九回　　登鶚薦稚蘭邀特簡　續鴛盟俠柳仗良媒
020 第二十回　　省重闈義婢共登程　拯幽獄小郎親謁府
021 第二十一回　　慈太君仙輿欣就養　勇將軍使節出從徵
022 第二十二回　　賞初雪姑嫂話戎機　靖飛塵士民攀宦轍
023 第二十三回　　長安宮同日拜丹綸　清虛殿雙飛簪彩筆
024 第二十四回　　千里相逢序聯徵雁　雙星好合兆應祥麟
025 第二十五回　　捷北榜薛蝌破天荒　犯西台蔣琪鑽狗洞
026 第二十六回　　降蘭香良緣憑月老　宴花朝雅令集風詩
027 第二十七回　　碧落侍郎侍姬共戲　紫薇學士學使超遷
028 第二十八回　　平蟻穴丹墀獎元勳　賞龍舟紅閨酬令節
029 第二十九回　　白蓮庵遊戲度三星　絳珠宮安排迎二老
030 第三十回　　試題榜冰玉約園遊　邀乞巧蕙蘭訂仙偶
031 第三十一回　　直報怨趙倫犯秋憲　德勝才賈政領冬官
032 第三十二回　　展菊屏芳筵招姊妹　降木筏雅詠接仙凡
033 第三十三回　　懺宿冤吁佛拯呆蟠　踐成約會真挈嫠史
034 第三十四回　　聽清歌初宴會真園　賞佳月大開涵萬閣
035 第三十五回　　水廊月影卜夜聯吟　露幌花光留春展宴
036 第三十六回　　注五馬賈丞得外除　策六韜周郎由內助
037 第三十七回　　定襄伯移節領黃圖　榮國府剪花賞元夕
038 第三十八回　　羨早貴快婿典京營　驚夙慧雛孫入家塾
039 第三十九回　　紅香圃舞蝶邀詩　赤霞宮離鸞引夢
040 第四十回　　蘅香苑留夢記新巢　梨雪軒聆歌傷往事
041 第四十一回　　送仙蹤蟾府愜新游　慰鄉心麋台欣小住
042 第四十二回　　紅妝月舫碧落徵歌　白骨霜街紫英仗義
043 第四十三回　　浩浩恩綸稚孫賜秩　恢恢法網惡僕罹刑
044 第四十四回　　宴梅屏重展大觀園　壽椒掖試演千秋舞
045 第四十五回　　會真園片月引鸞輿　留春院百花圍蝶陣
046 第四十六回　　慶生辰飛花開綺宴　報春暉入夢遺金丹
047 第四十七回　　回車覆水舊院棲傭　仗節朝天廣田敦族
048 第四十八回　　鏡漪園泛舟從御賞　櫳翠庵草表卻恩綸
049 第四十九回　　紅毛艦寄什訊琴娘　黃泉路招魂慰湘女
050 第五十回　　凌縹緲神瑛駕鵬舟　報綢繆寶釵調鳳軫
051 第五十一回　　送鄉闈薛蝌最憐婿　避窗稿賈蕙不欺君
052 第五十二回　　感俠腸隔生續鴛偶　播佳話踵武掇蟾香
053 第五十三回　　倪金剛膜拜真菩薩　賈探花屈居半狀元
054 第五十四回　　頒恩詔追封鳳藻宮　饋婚儀初試鮫綃帳
055 第五十五回　　使重洋父授定風珠　傷末路妾泣投泥玉
056 第五十六回　　舞彩衣瑛珠乍歸省　集金釵柳燕共超凡
057 第五十七回　　司文郎學諳琴上字　乘槎客歸賦畫中游
058 第五十八回　　宴水榭蓮燈煩侍婢　監秋闈藤貼授佳兒
059 第五十九回　　賜甲第延慶逮曾孫　卜山居乞身辭亞相
060 第六十回　　扶杖看花弟兄互侍　傾囊施藥宛若雙旌
061 第六十一回　　賢節度抗章陳帝闕　新太守展覲入神京
062 第六十二回　　晷逼西山蹉跎傷暮　漿傾北斗宛轉回春
063 第六十三回　　奉親舍手規夢蝶莊　題真境敕賜蟠龍榜
064 第六十四回　　慶慈壽碧落會團欒　聚仙眷紅樓結因果
