001 繡雲閣 10453 第一回 　　聚仙臺諸真論道　虛無子四境游神
002 繡雲閣 10454 第二回 　　遵師言投生擇地　游冥府奉命提魂
003 繡雲閣 10455 第三回 　　三緘觀劇遇狐狸　七竅乘舟見毒龍
004 繡雲閣 10456 第四回 　　訪友人誤入仙莊　遇蘇子巧生魔障
005 繡雲閣 10457 第五回 　　背福海三妖喪命　遇不情七竅迷心
006 繡雲閣 10458 第六回 　　迷女色師提入夢　臨渤海怪亦充仙
007 繡雲閣 10459 第七回 　　望紅燈誤認蘭若　游綠野忽遇仙亭
008 繡雲閣 10460 第八回 　　率野鬼石村排陣　遇柳精泥郭為神
009 繡雲閣 10461 第九回 　　朝元洞六魔擾世　靈根寺三道傳功
010 繡雲閣 10462 第十回 　　黃河島赤鯉為害　泥丸國白鳳銜珠
011 繡雲閣 10463 第十一回 　　盜電光三緘負疾　游白馬萬里思親
012 繡雲閣 10464 第十二回 　　奉父母誠感天地　讀詩書道易功名
013 繡雲閣 10465 第十三回 　　查良緣三請月老　得王爵四失雲卿
014 繡雲閣 10466 第十四回 　　謫遼陽情傷毒役　過秦嶺念切慈親
015 繡雲閣 10467 第十五回 　　遇杜公山亭養疾　逢匈奴塞外看羊
016 繡雲閣 10468 第十六回 　　羊奔澗得逢仙友　虎出穴又仗神威
017 繡雲閣 10469 第十七回 　　轉後洞折磨苦甚　訴前言贖取情深
018 繡雲閣 10470 第十八回 　　化仙府憑空試法　出遼陽選地為家
019 繡雲閣 10471 第十九回 　　集諸仙洞中議道　化田翁郭外談玄
020 繡雲閣 10472 第二十回 　　冒三緘題詩訪友　引七竅入閣言情
021 繡雲閣 10473 第二十一回 　　過裙山邀入洞府　離沐水錯認歸途
022 繡雲閣 10474 第二十二回 　　棄道心皆由巧辯　崇儒學幸服青衿
023 繡雲閣 10475 第二十三回 　　純陽觀求桃卜卦　聚陰臺遇鬼問神
024 繡雲閣 10476 第二十四回 　　仙緣莊夢友談道　磐澗谷有怪為鄰
025 繡雲閣 10477 第二十五回 　　蚌女精花中獻媚　江清道元外談情
026 繡雲閣 10478 第二十六回 　　討毒龍西方請佛　誅水怪東海興兵
027 繡雲閣 10479 第二十七回 　　戰蛟王連江失計　收蚌女烏澤復仇
028 繡雲閣 10480 第二十八回 　　白鹿洞雪中三顧　黃粱夢榻上重逢
029 繡雲閣 10481 第二十九回 　　入靜境神能冶性　居鬧市念已無塵
030 繡雲閣 10482 第三十回 　　珠光女魂遇靈宅　郝丞相姻結探花
031 繡雲閣 10483 第三十一回 　　仙妖配海南上任　父母沒磐澗居喪
032 繡雲閣 10484 第三十二回 　　易俗形拜師立髻　出梓里逐日雲遊
033 繡雲閣 10485 第三十三回 　　集錦村婦女遭害　落花渡龍子宣淫
034 繡雲閣 10486 第三十四回 　　集春山狐鬼鬥法　鳳儀閣師徒降魔
035 繡雲閣 10487 第三十五回 　　困冤魔雲衣賜寶　過集春鬼首拜門
036 繡雲閣 10488 第三十六回 　　鐵馬溪仁施鳳女　銅頭鬼力戰龍賓
037 繡雲閣 10489 第三十七回 　　收龍子龍君設宴　除道士道署停官
038 繡雲閣 10490 第三十八回 　　挽道心勤施苦口　游東嶽得遇神仙
039 繡雲閣 10491 第三十九回 　　收人妖全憑舌戰　教毒虎本此仁心
040 繡雲閣 10492 第四十回 　　碧玉山蕉精奪纛　葫蘆井金鏡迷人
041 繡雲閣 10493 第四十一回 　　收二翠鳳春作梗　釀五毒龍子救民
042 繡雲閣 10494 第四十二回 　　三賢莊道止雪雹　五里村法伏虹腰
043 繡雲閣 10495 第四十三回 　　入陰羅山猿寄信　奔陽關野馬談妖
044 繡雲閣 10496 第四十四回 　　停雲閣談元伏虎　侍郎院講義還官
045 繡雲閣 10497 第四十五回 　　靈宅洞群妖畢集　北鳳山二翠同修
046 繡雲閣 10498 第四十六回 　　過桃溪突遇野鬼　游梅峽又見人妖
047 繡雲閣 10499 第四十七回 　　紫泉洞獐妖避席　赤水江鱉怪離宮
048 繡雲閣 10500 第四十八回 　　湖心亭與人說鬼　江月鎮化世彈琴
049 繡雲閣 10501 第四十九回 　　過富山暗服芝草　行朱郭假冒土神
050 繡雲閣 10502 第五十回 　　游南海蓮飛水面　充白帝霞卷空中
051 繡雲閣 10503 第五十一回 　　誅白蟒群妖助戰　游南嶽獨自歸鄉
052 繡雲閣 10504 第五十二回 　　靈宅子使妖入彀　赤鯉精剖案如神
053 繡雲閣 10505 第五十三回 　　太倉洞凌虛寄信　八卦臺道祖分功
054 繡雲閣 10506 第五十四回 　　遇谷神恨殄天物　逢社令惡壞人心
055 繡雲閣 10507 第五十五回 　　釜形山黃祜為害　鼎月橋白檖生花
