001 第四十一回　　安龍媒初到鄧家莊　鄧老翁指點山林士
002 第四十二回　　訪隱逸巧逢有才士　接家眷喜見夢中人
003 第四十三回　　安龍媒新接督學印　衛方伯細訴愚民情
004 第四十四回　　寫回書指示門生　談往事憶及杰士
005 第四十五回　　九重下詔任賢使能　雙子同生添丁衍慶
006 第四十六回　　欽差曹州下馬　強寇山內設謀
007 第四十七回　　識詐降假意退兵　失巢穴潛蹤逃命
008 第四十八回　　烈女還家蒙恩旌表　強盜逃難借友報仇
009 第四十九回　　良心發現棄邪歸正　預防思患設計藏身
010 第五十回　　謁禪師指明正路　刺欽差妄想癡心
011 第五十一回　　惡僧行刺兩地空勞　大盜拜師二歐濟美
012 第五十二回　　畢歸元獻圖定策　周得勝打店逢凶
013 第五十三回　　四客人除奸奮勇　兩女子擺擂揚威
014 第五十四回　　二歐創業太平濱　四將偷渡羊腸谷
015 第五十五回　　破妖法有意捉凶僧　訪潛蹤無心遇杰士
016 第五十六回　　空歡喜林內得薰香　枉勤勞廟中擒巨寇
017 第五十七回　　勝復敗官弁屢失機　死裡生惡僧兩遇救
018 第五十八回　　欽差審案四遠名揚　活佛昇天一朝事敗
019 第五十九回　　計出萬全藏嬌盡獲　算失一著首惡潛逃
020 第六十回　　武備文修欽差馳譽　先難後易海盜投降
021 第六十一回　　問迷津三閱仙柬　懷遠慮同赴鄧莊
022 第六十二回　　安欽差鄧家莊聚會　侯頭目太平濱動身
023 第六十三回　　侯蒙獻策指陳地理　田公見子喜遇親人
024 第六十四回　　聖主施恩赦海寇　慈親憶子染沉痾
025 第六十五回　　救姑疾何玉鳳割股　聞捷報安龍媒赴營
026 第六十六回　　丈夫破敵滅山寇　俠女憐才認高徒
027 第六十七回　　何小姐授徒習武　褚大娘憶舊談心
028 第六十八回　　起大軍武成仍奮武　析疑獄冤辨又明冤
029 第六十九回　　遇陸賊先鋒屢敗陣　破頭關夫人初用兵
030 第七十回　　伍氏女被擒得夫　何小姐置酒論帥
031 第七十一回　　再顯威名夫人得勝　連施妙計女將成功
032 第七十二回　　破秘雲岩群凶授首　得白象嶺首逆潛逃
