001 第一回　　沖霄樓智化逢凶化吉　王爺府艾虎死而夏生
002 第二回　　雲中鶴寶劍穿地板　蔣四義牙齒咬繩索
003 第三回　　武總鎮帶兵圍府　襄陽王率眾逃生
004 第四回　　看盟單智化逃走　專折本展昭入都
005 第五回　　趙校尉當面行粗　魯李欽差暗地用機謀
006 第六回　　英雄戶外聽私語　貪官屋內說謊言
007 第七回　　拚命的不干己事　逃生者移禍於人
008 第八回　　使心用意來行刺　安排巧計等拿賊
009 第九回　　擒刺客谷雲飛奮勇　送稟帖黑妖狐有功
010 第十回　　誠心勸人改邪歸正　追悔己過棄暗投明
011 第十一回　　班頭奉相諭訪案　欽差交聖旨辭官
012 第十二回　　龍姚二人賣藝闖禍　姑娘獨自奮勇拿人
013 第十三回　　天齊廟外大家動手　把勢場內好漢遭擒
014 第十四回　　素貞有心憐公子　盧珍無意要姑娘
015 第十五回　　夫婦非是真夫婦　姻緣也算假姻緣
016 第十六回　　馮淵巧遇小義士　班頭求見楊秉文
017 第十六回　　賊女空有手帕難取勝　俠客全憑寶劍可擒人
018 第十八回　　黑樹岡范天保行刺　金鑾殿顏大人辭官
019 第十九回　　小五義御花園見駕　萬歲爺龍圖閣封官
020 第二十回　　猛漢險些驚聖駕　于奢一怒犯天顏
021 第二十一回　　于奢得命二次舉鼎　天子一見復又封官
022 第二十二回　　更衣殿盜去冠袍帶履　鳳翔門留下粉漏菊花
023 第二十三回　　開封群雄領相諭　徐州大眾去投文
024 第二十四回　　官查姚正說道路　地方王直泄賊情
025 第二十五回　　邢如龍挖去一目　邢如虎四指受傷
026 第二十六回　　馮淵房上假言詐語　晏飛院內嚇落真魂
027 第二十七回　　校尉火燒潞安山　總鎮兵困柳家營
028 第二十八回　　因貪功二人墜翻板　為拿賊獨自受鏢傷
029 第二十九回　　巧裝扮私訪淫寇　用假話誆騙愚人
030 第三十回　　群賊用意套實話　校尉橫心不泄機
031 第三十一回　　捆廳柱一福將受辱　花園內三小廝被殺
032 第三十二回　　活張仙與周龍定計　馮校尉救趙虎逃生
033 第三十三回　　二護衛水牢離險地　鄭天惠周宅展奇才
034 第三十四回　　猛趙虎出房受彈　鄭天惠棄暗投明
035 第三十五回　　奔南陽府找賊入伙　上鵝峰堡尋師求醫
036 第三十六回　　為交朋友一見如故　同師弟子反作仇人
037 第三十七回　　鏢打天惠心毒意狠　結果賽花喪盡天良
038 第三十八回　　三老爺回家哭五弟　山西雁路上遇淫賊
039 第三十九回　　老紀強全家喪命　白菊花獨自逃生
040 第四十回　　鄭天惠在家辦喪事　多臂熊葦塘見囚車
041 第四十一回　　准提寺前逢二老　養靜堂內論英雄
042 第四十二回　　鏢打腹中幾乎廢命　刀傷鼻孔忍痛逃生
043 第四十三回　　水面放走貪花客　樹林搭救老婦人
044 第四十四回　　金毛犼愛財設巧計山西雁貪功墜牢籠
045 第四十五回　　徐良臨險地多虧好友　石仁入賊室搭救賓朋
046 第四十六回　　入破廟人鬼亂鬧　奔古寺差解同行
047 第四十七回　　儒寧村賢人遭害　太歲坊惡霸行兇
048 第四十八回　　貪官見財忘天理　先生定計蔑良心
049 第四十九回　　二解差欺心害施俊　三賊冠用計戰徐良
050 第五十回　　欽差門上懸御匾　智化項下掛金牌
051 第五十一回　　知恩不報偏生歹意　放火燒人反害自身
052 第五十二回　　金錢堡店中觀四寇　太歲坊門首看凶徒
053 第五十三回　　遇弔客魂膽嚇落　見大漢誇獎奇才
054 第五十四回　　東方明仗造化捉鬼　黑妖狐用奇計裝神
055 第五十五回　　趙勝害人卻教人害　惡霸欺人反被人欺
056 第五十六回　　智化送姪婦回店　蘭娘救盟嫂逃生
057 第五十七回　　竇勇強中鐵棍廢命　東方明受袖箭亡身
058 第五十八回　　金錢堡羞走山西雁　毛家疃醉倒鐵臂熊
059 第五十九回　　假義僕復又生毒計　真烈婦二次遇災星
060 第六十回　　盟兄弟巧會盟兄弟　有仇人偏遇有仇人
061 第六十一回　　趙保同素貞私奔　艾虎遇盟兄行程
062 第六十二回　　五里屯女賊漏網　尼姑庵地方泄機
063 第六十三回　　徐良首盜魚腸劍　二寇雙探藏珍樓
064 第六十四回　　伏地君王收二寇　金家弟兄見群賊
065 第六十五回　　屋內金仙身體不爽　院中玉仙故意騙人
066 第六十六回　　多臂人熊看姑娘練武　東方玉仙教丫鬟打拳
067 第六十七回　　泄機關捉拿山西雁　說原由丟失多臂熊
068 第六十八回　　躺箱之中徐良等死　桌子底下書安求生
069 第六十九回　　三元店徐良遇智化　白沙灘史丹見朱英
070 第七十回　　蔣平遇龍滔定計　趙虎見史丹施威
071 第七十一回　　美珍樓白菊花受困　酒飯鋪眾好漢捉賊
072 第七十二回　　醬缸內周瑞廢命　小河中晏飛逃生
073 第七十三回　　吳必正細說家務事　馮校尉情願尋賊人
074 第七十四回　　得寶劍馮淵快樂　受熏香晏飛被捉
075 第七十五回　　見惡賊貪淫受害　逢二友遇難呈祥
076 第七十六回　　晏飛丟劍悲中喜　馮淵得寶喜中悲
077 第七十七回　　史丹無心投員外　天彪假意認乾爹
078 第七十八回　　眾好漢二盜魚腸劍　小太保初觀紅翠花
079 第七十九回　　賽地鼠龍鬚下廢命　玉面貓亂刀中傾生
080 第八十回　　黃面狼細講途中故　小韓信分說舊衷情
081 第八十一回　　清淨庵天彪逢雙女　養性堂梁氏見乾兒
082 第八十二回　　蔣平給天彪慮後事　梁氏與二女定終身
083 第八十三回　　到後院夫妻談樓事　上信陽校尉請先生
084 第八十四回　　徐良前邊戲耍周凱　馮淵後面搭救佳人
085 第八十五回　　賈家屯馮淵中暗器　小酒鋪姑娘救殘生
086 第八十六回　　生鐵佛廟中說親事　劉志齊家內畫樓圖
087 第八十七回　　徐良在院中被獲　周凱到樹林脫身
088 第八十八回　　三盜魚腸劍大眾起身　巧破藏珍樓英雄獨往
089 第八十九回　　馮校尉柁上得劍　山西雁樓內著急
090 第九十回　　夜晚藏珍樓芸生得寶　次日白沙灘大眾同行
091 第九十一回　　擂台下總鎮知府相會　看棚前老少英雄施威
092 第九十二回　　喬彬頭次上台打擂　張豹二番論武失機
093 第九十三回　　窮漢打擂連贏四陣　史雲動手不教下台
094 第九十四回　　艾虎與群賊掄拳比武　徐良見台官講論雌雄
095 第九十五回　　二英雄力劈王興祖　兩好漢打死東方清
096 第九十六回　　親姊妹逃奔商水縣　師兄弟相逢白沙灘
097 第九十七回　　金弓二郎帶金仙單走　蓮花仙子會玉仙同行
098 第九十八回　　搶囚車頭回中計　劫法場二次撲空
099 第九十九回　　玉仙紀小泉開封行刺　芸生劉士杰衙內拿人
100 第一○○回　　艾虎三更追女寇　于奢夜晚獲男賊
101 第一○一回　　包公開封府內丟相印　徐良五平村外見山王
102 第一○二回　　青石樑上殺猛獸　閻家店內遇仇人
103 第一○三回　　因酒醉睡熟丟利刃　為找刀打架遇天倫
104 第一○四回　　見爹爹細說京都事　找姐姐追問盜刀情
105 第一○五回　　亞俠女在家中比武　山西雁三千戶招親
106 第一○六回　　徐家父子觀賊隊　乜氏弟兄展奇才
107 第一○七回　　眾好漢過潼關逢好漢　大英雄至飯鋪遇英雄
108 第一○八回　　乜雲鵬使鞭鞭對鐺　徐世長動手手接鏢
109 第一○九回　　四品護衛山谷遇險　站殿將軍戰場擒人
110 第一一○回　　蔣平率大眾削刀破擋　李珍與阮成被獲遭擒
111 第一一一回　　金仙一怒殺老道　寨主有意要姑娘
112 第一一二回　　臧能苟合哀求當幕友　玉仙至死不嫁二夫郎
113 第一一三回　　朝天嶺上得寶印　連雲島下見水衣
114 第一一四回　　鍾太保船到朝天嶺　眾寨主兵屯馬尾江
115 第一一五回　　王紀先大獲全勝　鍾太保敗陣而回
116 第一一六回　　鍾雄下戰書打仗　臧能藏春酒配成
117 第一一七回　　玉仙投宿大家動手　員外留客率眾交鋒
118 第一一八回　　英雲素花雙雙得勝　王玉金仙對對失機
119 第一一九回　　小英雄火燒朝天嶺　眾好漢大戰馬尾江
120 第一二○回　　破朝天嶺事人人歡喜　報陷空島信個個傷悲
121 第一二一回　　盧員外陷空島交手　展小霞五義廳施威
122 第一二二回　　焦虎自己奔潼關送信　蔣平派人到各處請人
123 第一二三回　　眾英雄復奪陷空島　白菊花被殺風雨灘
124 第一二四回　　襄陽王被捉身死　萬歲爺降旨封官
