001 第一回　　穿雲燕盜走珍珠冠　賽活猴巧遇風雲俠
002 第二回　　改裝束私訪相國寺　中毒鏢邂逅俏姑娘
003 第三回　　誤傷兄冤家訂姻緣　錯聽信仇人施詭計
004 第四回　　密林中哭訴傷心事　洞房裡戲言成齟齬
005 第五回　　小雷霆遭綁藏軍山　賽活猴落難飛雲橋
006 第六回　　唐三爺藥鋪散鬱悶　假大夫繡樓充明公
007 第七回　　假稱病拒走登門客　歪主意勾出隱士來
008 第八回　　喬巧匠揭曉過橋路　唐矬子探寨被包圍
009 第九回　　脫身計念咒聚神將　避閨房途窮陷縲紲
010 第十回　　死臨危偏遇逃生者　生遇險又逢救死人
011 第十一回　　小豪傑錘掏三寨主　老俠客怒找蓋世英
012 第十二回　　憶往事難斷師徒情　隱身寶易開縛人索
013 第十三回　　殿曦嵐單身探山寨　蒙面賊暗器傷小俠
014 第十四回　　賽活猴誠心訪賢嫂　陳清秋無意見夫君
015 第十五回　　蓋嬌娘行刺狀元府　陳清秋計上藏軍山
016 第十六回　　兩姊妹壽堂舞寶劍　二淫賊繡樓戲美人
017 第十七回　　殿曦嵐山上得井圖　陳清秋井下斬周洪
018 第十八回　　陳小姐樓內勸義妹　蓋寨主河邊會狀元
019 第十九回　　金鑾殿呂剛見聖駕　山神廟鐵牛逢奇人
020 第二十回　　真完婚鐵牛娶醜女　假投降陳鵬騙狀元
021 第二十一回　　插翅虎不顧兄妹義　蓋世英尚存父女情
022 第二十二回　　蓋世英飛鏢打燈火　徐文彪金槍挑銅鈴
023 第二十三回　　小金貴下水勝鄧青　南列門神掌打孔生
024 第二十四回　　駱家寨外甥請娘舅　藏軍山惡道會老俠
025 第二十五回　　倒爬城阮英獻絕技　踢木樁雷鳴有神功
026 第二十六回　　美嫦娥後寨摸底細　丑姑娘前山立奇功
027 第二十七回　　女勸父投案獻國寶　兄尋弟賣藝救漁夫
028 第二十八回　　鑽雲燕子離山逃命　金翅大鵬獻寶投降
029 第二十九回　　平山寨狀元回汴梁　遭陷害阮英問斬刑
030 第三十回　　呂駙馬講情金鑾殿　唐鐵牛被擒豔陽樓
031 第三十一回　　老花子進屋救好漢　唐鐵牛探監打總兵
032 第三十二回　　假大夫巧遇八千歲　劉延龍狀告唐鐵牛
033 第三十三回　　抱金鐧鐵牛上金殿　訪賊人矬子查賊巢
034 第三十四回　　賽活猴出牢尋響馬　假阮英冒名娶新娘
035 第三十五回　　過汴橋莽漢砸鑾駕　鬧西苑小妹擒胞兄
036 第三十六回　　賽活猴訪問朱家寨　丑大姐活捉假阮英
