001 續紅樓夢新編 21775 第一回 　　證仙果帝廷受職　敦婦道勛府持家
002 續紅樓夢新編 21776 第二回 　　沭恩綸山左江西秉鑒　占惠迪金童玉女臨凡
003 續紅樓夢新編 21777 第三回 　　慶三朝開筵款客　監禮闈破格掄才
004 續紅樓夢新編 21778 第四回 　　賈雨村塵廛賣卜　甄士隱邊海建功
005 續紅樓夢新編 21779 第五回 　　探花郎卜姻諧鳳侶　詞林客合巹結鸞儔
006 續紅樓夢新編 21780 第六回 　　敷文真人奉命監場　瀟湘仙子臨壇感舊
007 續紅樓夢新編 21781 第七回 　　左金童性定悟前因　右玉女夢游登大覺
008 續紅樓夢新編 21782 第八回 　　梅翰林因詩擇婿　賈副憲觸緒聯姻
009 續紅樓夢新編 21783 第九回 　　劉姥姥為媒申舊約　王嬤嬤下定話奇緣
010 續紅樓夢新編 21784 第十回 　　弭舊憾以直報怨　篤親情本經行權
011 續紅樓夢新編 21785 第十一回 　　榮國府六旬開慶晏　御史臺片語沐殊恩
012 續紅樓夢新編 21786 第十二回 　　驚四座賈茂叔揮毫　感三湘梅月娥對月
013 續紅樓夢新編 21787 第十三回 　　據成案秉公量坍地　申國法持正抑豪強
014 續紅樓夢新編 21788 第十四回 　　因公觸怒褫職何慚　奉命恤刑復官無枉
015 續紅樓夢新編 21789 第十五回 　　賦梅花重開詩社　游泮水獨步文壇
016 續紅樓夢新編 21790 第十六回 　　臨風覽勝係歸舟　剪韭留賢逢舊雨
017 續紅樓夢新編 21791 第十七回 　　經歷連婚赴新任　秀才因舊締良緣
018 續紅樓夢新編 21792 第十八回 　　賞金帶踐約無心　修玉斧邀朋覓句
019 續紅樓夢新編 21793 第十九回 　　史湘雲猜枚露仙跡　梅月娥乞巧結奇絲
020 續紅樓夢新編 21794 第二十回 　　甄嘉言建策籌邊　周廷掄行師掛印
021 續紅樓夢新編 21795 第二十一回 　　秋試春闈雙得意　嚶鳴蘿施兩隨心
022 續紅樓夢新編 21796 第二十二回 　　撤金蓮奉詔迎婚　調玉燭班師錫爵
023 續紅樓夢新編 21797 第二十三回 　　設宴題詩瓊林獨耀　披圖入選鳳藻重榮
024 續紅樓夢新編 21798 第二十四回 　　撫循山左濟奇荒　視學江西懸藻鑒
025 續紅樓夢新編 21799 第二十五回 　　秋燕春鶯閒鬥口　花姊月妹喜談心
026 續紅樓夢新編 21800 第二十六回 　　賜歸省重幸大觀園　沐君恩內遷少司馬
027 續紅樓夢新編 21801 第二十七回 　　臨安伯因舊嫌搆怨　狀元郎奉新命封王
028 續紅樓夢新編 21802 第二十八回 　　堆雪團洩露春輝　集花片砌成情字
029 續紅樓夢新編 21803 第二十九回 　　以道事君敢言晉職　遇禮而止解組歸農
030 續紅樓夢新編 21804 第三十回 　　龍虎石博物重偏邦　襖佛教名言推上國
031 續紅樓夢新編 21805 第三十一回 　　隱士廬中逢舊隱　仙人島上遇真仙
032 續紅樓夢新編 21806 第三十二回 　　抵粵門三載歸舟　朝丹闕二臣覆命
033 續紅樓夢新編 21807 第三十三回 　　鳳藻宮誕麟頒鳳詔　金華殿倚馬試金門
034 續紅樓夢新編 21808 第三十四回 　　山吏部竹林內七賢　白司馬香山中九老
035 續紅樓夢新編 21809 第三十五回 　　西嶽進香收虎怪　南郊直夜制猿精
036 續紅樓夢新編 21810 第三十六回 　　押黃紙奎閣平章　頒白麻楓廷大拜
037 續紅樓夢新編 21811 第三十七回 　　仲貴妃敕修櫳翠庵　探姑娘勸整大觀園
038 續紅樓夢新編 21812 第三十八回 　　晉齊吳楚話行蹤　雪月風花聯舊社
039 續紅樓夢新編 21813 第三十九回 　　沐殊榮建坊旌善　頒特詔入祀明恩
040 續紅樓夢新編 21814 第四十回 　　榮國府開宴慶遐齡　紅樓夢還元歸太璞
