001 第一回　　平台灣荷國首通商　爭澳門英人初肇釁
002 第二回　　入覲圓明園使臣辭疾　擴充公司局通事被拿
003 第三回　　朱撫軍嚴辦司事　盧總督復召大班
004 第四回　　設巡船私受規銀　派欽使大燒煙土
005 第五回　　議章程稟命國王　停貿易勒交人犯
006 第六回　　九龍山炮擊洋船　長沙灣火焚夷艇
007 第七回　　英女主拈鬮決戰　林制台募勇籌防
008 第八回　　鄧總督嚴守廈門　烏撫台坐失定海
009 第九回　　任情需索洋將投書　故意把持奸臣誤國
010 第十回　　伊大臣私饋牛酒　琦欽差盡撤兵丁
011 第十一回　　攻沙角陳副將陣亡　陷虎門關提督死節
012 第十二回　　琦欽差伏罪回旗　楊提督失機誤事
013 第十三回　　將軍妄動半夜出兵　制府無謀三路失守
014 第十四回　　償軍餉首府議和　起義兵洋酋殞命
015 第十五回　　練團勇大振聲威　謝海神濫蒙保舉
016 第十六回　　探水路復攻廈門　築外城再陷定海
017 第十七回　　陷鎮海大臣死節　駐姑蘇幕府橫行
018 第十八回　　將軍占夢大進兵　提督聞風忽反走
019 第十九回　　襲鎮海偏師覆沒　棄紹興大帥遁逃
020 第二十回　　用伏兵偶然戰勝　妒功臣又請講和
021 第二十一回　　攻乍浦守將盡忠　犯吳淞總兵逃命
022 第二十二回　　陷寶山制台先走　破鎮江都統無謀
023 第二十三回　　諭洋將從容停戰　聽漢奸草率議和
024 第二十四回　　守台灣有功被誣　攻印度失機可惜
025 第二十五回　　焚洋館和戰餘波　下明詔賢奸結局
