001 第七十一回　　猛都監興師剿寇　宋天子訓武觀兵
002 第七十二回　　女飛衛發怒鋤奸　花太歲癡情中計
003 第七十三回　　北固橋郭英賣馬　闢邪巷希真論劍
004 第七十四回　　希真智鬥孫推官　麗卿痛打高衙內
005 第七十五回　　東京城英雄脫難　飛龍嶺強盜除蹤
006 第七十六回　　九松浦父女揚威　風雲莊祖孫納客
007 第七十七回　　皂莢林雙英戰飛衛　梁山泊群盜拒蔡京
008 第七十八回　　蔡京私和宋公明　天彪大破呼延灼
009 第七十九回　　蔡太師班師媚賊　楊義士旅店除奸
010 第八十回　　高平山騰蛟避仇　鄆城縣天錫折獄
011 第八十一回　　張觷智穩蔡太師　宋江議取沂州府
012 第八十二回　　宋江焚掠安樂村　劉廣敗走龍門廠
013 第八十三回　　雲天彪大破青雲兵　陳希真夜奔猿臂寨
014 第八十四回　　苟桓三讓猿臂寨　劉廣夜襲沂州城
015 第八十五回　　雲總管大義討劉廣　高知府妖法敗麗卿
016 第八十六回　　女諸葛定計捉高封　玉山郎諸兵伐猿臂
017 第八十七回　　陳道子夜入景陽營　玉山郎贅姻猿臂寨
018 第八十八回　　演武廳夫妻宵宴　猿臂寨兄弟歸心
019 第八十九回　　陳麗卿力斬鐵背狼　祝永清智敗艾葉豹
020 第九十回　　陳道子草創猿臂寨　雲天彪征討清真山
021 第九十一回　　傅都監飛錘打關勝　雲公子萬弩射索超
022 第九十二回　　梁山泊書諷道子　雲陽驛盜殺侯蒙
023 第九十三回　　張鳴珂薦賢決疑獄　畢應元用計誘群奸
024 第九十四回　　司天台蔡太師失寵　魏河渡宋公明折兵
025 第九十五回　　陳道子煉鐘擒巨盜　金成英避難去危邦
026 第九十六回　　鳳鳴樓紀明設局　鶯歌巷孫婆誘姦
027 第九十七回　　陰秀蘭偷情釀禍　高世德縱僕貪贓
028 第九十八回　　豹子頭慘烹高衙內　筍冠仙戲阻宋公明
029 第九十九回　　禮拜寺放賑安民　正一村合兵禦寇
030 第一○○回　　童郡王飾詞諫主　高太尉被困求援
031 第一○一回　　猿臂寨報國興師　蒙陰縣合兵大戰
032 第一○二回　　金成英議復曹府　韋揚隱力破董平
033 第一○三回　　高平山叔夜訪賢　天王殿騰蛟誅逆
034 第一○四回　　宋公明一月陷三城　陳麗卿單槍刺雙虎
035 第一○五回　　雲天彪收降清真山　祝永清閒遊承恩嶺
036 第一○六回　　魏輔梁雙論飛虎寨　陳希真一打兗州城
037 第一○七回　　東方橫請玄黃吊掛　公孫勝破九陽神鐘
038 第一○八回　　真大義獨赴甑山道　陳希真兩打兗州城
039 第一○九回　　吳加亮器攻新柳寨　劉慧娘計窘智多星
040 第一一○回　　祝永清單入賣李谷　陳希真三打兗州城
041 第一一一回　　陳義士獻馘歸誠　宋天子誅奸斥佞
042 第一一二回　　徐槐求士遇任森　李成報國除楊志
043 第一一三回　　白軍師巧造奔雷車　雲統制兵敗野雲渡
044 第一一四回　　宋江攻打二龍山　孔厚議取長生藥
045 第一一五回　　高平山唐猛擒神獸　秦王洞成龍捉參仙
046 第一一六回　　陳念義重取參仙血　劉慧娘大破奔雷車
047 第一一七回　　雲天彪進攻蓼兒窪　宋公明襲取泰安府
048 第一一八回　　陳總管兵敗汶河渡　吳軍師病因新泰城
049 第一一九回　　徐虎林臨訓玉麒麟　顏務滋力斬霹靂火
050 第一二○回　　徐青娘隨叔探親　汪恭人獻圖定策
051 第一二一回　　六六隊大攻水泊　三三陣迅掃頭關
052 第一二二回　　吳用智御鄆城兵　宋江奔命泰安府
053 第一二三回　　東京城賀太平誅佞　青州府畢應元薦賢
054 第一二四回　　汶河渡三戰黑旋風　望蒙山連破及時雨
055 第一二五回　　陳麗卿鬥箭射花榮　劉慧娘縱火燒新泰
056 第一二六回　　凌振捨身轟鄆縣　徐槐就計退頭關
057 第一二七回　　哈蘭生力戰九紋龍　龐致果計擒赤發鬼
058 第一二八回　　水攻計朱軍師就擒　車輪戰武行者力盡
059 第一二九回　　吳用計間顏務滋　徐槐智識賈虎政
060 第一三○回　　麗卿夜戰扈三娘　希真晝逐林豹子
061 第一三一回　　雲天彪旗分五色　呼延灼力殺四門
062 第一三二回　　徐虎林捐軀報國　張叔夜奉詔興師
063 第一三三回　　衝頭陣王進罵林沖　守二關雙鞭敵四將
064 第一三四回　　沉螺舟水底渡官軍　臥瓜錘關前激石子
065 第一三五回　　魯智深大鬧忠義堂　公孫勝攝歸乾元鏡
066 第一三六回　　宛子城副賊就擒　忠義堂經略勘盜
067 第一三七回　　夜明渡漁人擒渠魁　東京城諸將奏凱捷
068 第一三八回　　獻俘馘君臣宴太平　溯降生雷霆彰神化
069 第一三九回　　雲天彪進春秋大論　陳希真修慧命真傳
070 第一四○回　　闢邪巷麗卿悟道　資政殿嵇仲安邦
