001 薛仁貴征東 19338 第一回 　　秦元帥興兵定北　唐貞觀御駕親征
002 薛仁貴征東 19339 第二回 　　白良關劉寶林認父　殺劉方梅夫人明節
003 薛仁貴征東 19340 第三回 　　秦瓊兵進金靈川　寶林槍挑伍國龍
004 薛仁貴征東 19341 第四回 　　鐵板道土遁野馬川　屠爐女夜棄黃龍嶺
005 薛仁貴征東 19342 第五回 　　貞觀被困木陽城　叔寶大戰祖車輪
006 薛仁貴征東 19343 第六回 　　程咬金長安討救　小英雄比奪帥印
007 薛仁貴征東 19344 第七回 　　老夫人訴說祖父冤　小羅通統兵為元帥
008 薛仁貴征東 19345 第八回 　　羅仁私出長安城　鐵牛大敗磨盤山
009 薛仁貴征東 19346 第九回 　　白良關銀牙逞威　鐵踹牌大勝唐將
010 薛仁貴征東 19347 第十回 　　八寶銅人敗羅通　羅仁雙錘救兄長
011 薛仁貴征東 19348 第十一回 　　羅仁禍陷飛刀陣　公主喜訂三生約
012 薛仁貴征東 19349 第十二回 　　蘇定方計窖羅通　屠爐女憐才相救
013 薛仁貴征東 19350 第十三回 　　破番營康王奔逃　殺定方伸雪父仇
014 薛仁貴征東 19351 第十四回 　　賀蘭山知節議親　洞房中公主盡節
015 薛仁貴征東 19352 第十五回 　　龍門縣將星降世　唐天子夢擾青龍
016 薛仁貴征東 19353 第十六回 　　勝班師羅通配丑婦　不齊國差使貢金珠
017 薛仁貴征東 19354 第十七回 　　舉金獅叔寶傷力　見白虎仁貴傾家
018 薛仁貴征東 19355 第十八回 　　大王莊薛仁貴落魄　憐勇士柳金花贈衣
019 薛仁貴征東 19356 第十九回 　　富家女逃難托乳母　貧窮漢有幸配淑女
020 薛仁貴征東 19357 第二十回 　　射鴻雁薛禮逢故舊　贈盤纏周青同投軍
021 薛仁貴征東 19358 第二十一回 　　樊家莊三寇破獲　薛仁貴二次投軍
022 薛仁貴征東 19359 第二十二回 　　樊繡花願招豪俠婿　薛仁貴怒打出山虎
023 薛仁貴征東 19360 第二十三回 　　金錢山老將薦賢　贈令箭三次投軍
024 薛仁貴征東 19361 第二十四回 　　尉遲恭征東為帥　薛仁貴活擒董逵
025 薛仁貴征東 19362 第二十五回 　　白袍將巧擺龍門陣　唐天子愛慕英雄士
026 薛仁貴征東 19363 第二十六回 　　小將軍獻平遼論　瞞天計貞觀過海
027 薛仁貴征東 19364 第二十七回 　　金沙灘鞭打獨角獸　思鄉嶺李慶紅認弟
028 薛仁貴征東 19365 第二十八回 　　薛禮三箭定天山　番將驚走鳳凰城
029 薛仁貴征東 19366 第二十九回 　　汗馬城黑夜鏖兵　鳳凰山老將破獲
030 薛仁貴征東 19367 第三十回 　　尉遲恭囚解建都　薛仁貴打獵遇帥
031 薛仁貴征東 19368 第三十一回 　　唐貞觀被困鳳凰山　蓋蘇文飛刀斬眾將
032 薛仁貴征東 19369 第三十二回 　　薛萬徹殺出番營　張士貴妒賢傷害
033 薛仁貴征東 19370 第三十三回 　　梅月英法逞蜈蚣術　李藥師仙賜金雞旗
034 薛仁貴征東 19371 第三十四回 　　蓋蘇文大敗歸建都　何宗憲袍幅冒功勞
035 薛仁貴征東 19372 第三十五回 　　尉遲恭犒賞查賢士　薛仁貴月夜歎功勞
036 薛仁貴征東 19373 第三十六回 　　番將力擒張志龍　周青怒鎖先鋒將
037 薛仁貴征東 19374 第三十七回 　　薛仁貴病挑安殿寶　尉遲恭怒打張士貴
038 薛仁貴征東 19375 第三十八回 　　火頭軍仙救藏軍洞　唐天子駕困越虎城
039 薛仁貴征東 19376 第三十九回 　　護國公魂遊天府　小爵主掛白救駕
040 薛仁貴征東 19377 第四十回 　　秦懷玉衝殺四門　老將軍陰靈顯聖
041 薛仁貴征東 19378 第四十一回 　　孝子大破飛刀陣　唐王路遇舊仇星
042 薛仁貴征東 19379 第四十二回 　　雪花鬃飛跳養軍山　應夢臣得救真命主
043 薛仁貴征東 19380 第四十三回 　　銀鑾殿張環露奸臉　白玉關薛禮得龍駒
044 薛仁貴征東 19381 第四十四回 　　長安城活擒反賊　說帥印威重賢臣
045 薛仁貴征東 19382 第四十五回 　　賣弓箭仁貴巧計　逞才能二週歸唐
046 薛仁貴征東 19383 第四十六回 　　猩猩膽飛砧傷唐將　紅幔幔中戟失摩天
047 薛仁貴征東 19384 第四十七回 　　寶石基彩金進貢　扶餘國借兵圍城
048 薛仁貴征東 19385 第四十八回 　　程咬金誘惑蓋蘇文　摩天嶺討救薛仁貴
049 薛仁貴征東 19386 第四十九回 　　薛招討大破圍城將　蓋蘇文失計飛刀陣
050 薛仁貴征東 19387 第五十回 　　扶餘國二次借兵　朱皮仙播弄神通
051 薛仁貴征東 19388 第五十一回 　　香山弟子除妖法　唐國元戎演陣圖
052 薛仁貴征東 19389 第五十二回 　　蓋蘇文誤入龍門陣　薛仁貴智滅東遼帥
053 薛仁貴征東 19390 第五十三回 　　唐天子班師回朝　張土貴欺君正罪
054 薛仁貴征東 19391 第五十四回 　　平遼王建造王府　射怪獸誤傷嬰兒
055 薛仁貴征東 19392 第五十五回 　　王敖祖救活世子　平遼王雙美團圓
