000 本書說明
001 第一回　　兩遼王安葬白虎山　狄仁傑拒色臨清店
002 第二回　　李淳風課識天機　武媚娘初沾雨露
003 第三回　　武才人出宮為尼　褚遂良入朝直諫
004 第四回　　征西將回朝受爵　武昭儀暗害正宮
005 第五回　　高宗誤信報女仇　杜回忠心救小主
006 第六回　　江夏王救護真龍　通城虎打奸闖禍
007 第七回　　程咬金朝房辯論　張天左忍氣吃虧
008 第八回　　張天右教場受辱　樊梨花堂上生嗔
009 第九回　　夫人護子親面聖　薛剛仗義救冤人
010 第十回　　貧漢受恩得武職　官民奉旨放花燈
011 第十一回　　彩燈下踢死皇子　御樓上驚崩聖駕
012 第十二回　　武后下旨拿薛族　薛勇修書托孤兒
013 第十三回　　小神廟薛強遇師　大宛國公主招夫
014 第十四回　　教場中神傷良緣　金鑾殿夫妻交拜
015 第十五回　　臥龍山兩雄交鬥　聚義廳雙人配合
016 第十六回　　棄親子薛蛟脫禍　廢中宗武氏專權
017 第十七回　　薛丁山全家遭刑　樊梨花法場脫難
018 第十八回　　武氏削奪唐宗室　馬周挺身當大任
019 第十九回　　江淮侯訴出原由　通城虎知情痛哭
020 第二十回　　薛剛一掃鐵丘墳　馬登力救通城虎
021 第二十一回　　三思領旨剿薛剛　鸞英荒郊產男兒
022 第二十二回　　鸞英避難黑龍村　薛義忘恩貪爵位
023 第二十三回　　通城虎酒醉遭擒　兩英雄截途搶劫
024 第二十四回　　揚州城英王舉義　金陵地兩軍對敵
025 第二十五回　　承業定計襲揚州　鐵頭乘夜刺英王
026 第二十六回　　馬周失勢權居山　武氏篡位移唐祚
027 第二十七回　　謝映登指示咬金　眾功臣避難出鎮
028 第二十八回　　武三思進如意君　魏思泉放徐美祖
029 第二十九回　　女媧主傳授天書　狄梁公捉拿便嬖
030 第三十回　　薛剛二掃鐵丘墳　仁傑隱藏通城虎
031 第三十一回　　王懷義善卜瓦笤　安金藏剖腹屠腸
032 第三十二回　　月姑迷惑武三思　魯仲會遇通城虎
033 第三十三回　　銀安殿共議中興　房州城設立擂臺
034 第三十四回　　吳奇馬贊打擂臺　浮魯薛剛同見駕
035 第三十五回　　廬陵王恩赦薛剛　五方將大戰兩雄
036 第三十六回　　九燄山群雄聚義　通州城李旦落難
037 第三十七回　　七弦琴憂愁萬種　硃砂記天神托夢
038 第三十八回　　楊繡娘為媒說合　陳解元暗結英雄
039 第三十九回　　射飛鴉太子受辱　買雨具得遇東宮
040 第四十回　　痛離別母女傷心　喜相逢君臣議事
041 第四十一回　　獻漢陽國泰接駕　備吐番承業回朝
042 第四十二回　　馬迪借宿想佳人　于婆做媒遭毒罵
043 第四十三回　　躲雞籠嬌婿受打　貪財利奸尼設計
044 第四十四回　　馬迪倚勢強求親　胡完挺身救主母
045 第四十五回　　文氏窮途逢襟姪　崔母感悟接娘兒
046 第四十六回　　李承業奉旨和番　紫陽仙有意送寶
047 第四十七回　　訪國母聞信哭泣　馬將軍直言苦諫
048 第四十八回　　胡鳳嬌怨命輕生　崔文德送還庚貼
049 第四十九回　　俏書生思諧佳偶　貞烈女投江全節
050 第五十回　　崔文德痛哭鳳嬌　李承業戰勝馬周
051 第五十一回　　李貴設計謀寶鏡　唐王守義卻新婚
052 第五十二回　　入繡房夫妻重會　得寶鏡曹彪回營
053 第五十三回　　鳳嬌失落玉裹肚　陶仁監內困真龍
054 第五十四回　　王將軍漢陽報信　馬元帥湘州救駕
055 第五十五回　　三齊王長安請救　四總兵會剿漢陽
056 第五十六回　　玉鼎仙遣徒下山　徐孝德法收四將
057 第五十七回　　漢陽城災病立除　仙丹藥救活王曹
058 第五十八回　　徐孝德誅斬四將　李承業中計被擒
059 第五十九回　　唐王碎剮李承業　陳進捐金贖進興
060 第六十回　　文氏見婿愈傷心　申妃接駕露真情
061 第六十一回　　唐王班師回漢陽　胡后勸赦親叔嫂
062 第六十二回　　薛剛三祭鐵丘墳　元培私放通城虎
