001 第一回　　薛仁貴奉日進京城　李道宗設計害忠良
002 第二回　　馮世剛受賄搞逼供　薛仁貴含冤赴法場
003 第三回　　眾大臣保本金鑾殿　魯國公巧使少國公
004 第四回　　小英雄痛打成親王　老元帥星夜回長安
005 第五回　　皂袍將砸死紫禁城　八總兵就率隊進潼關
006 第六回　　盡忠盡義三赴法場　排難解紛軍師還朝
007 第七回　　冤案昭雪奸人正法　心灰意冷詐死埋名
008 第八回　　大王莊君臣請良將　校軍場元帥再點兵
009 第九回　　李道宗被焚火龍宮　唐天子受困鎖陽城
010 第十回　　程咬金設計闖連營　薛丁山受命下高山
011 第十一回　　眾小將比武顯奇能　薛丁山藝壓武科場
012 第十二回　　誤走棋盤唐軍受阻　棄暗投明兄妹歸唐
013 第十三回　　界牌關矬子首立功　鎖陽城蘇寶童逢敵手
014 第十四回　　大破敵軍鎖陽會師　為報兄仇借助神鷹
015 第十五回　　戰寒江老樊洪敗陣　奉師命樊梨花下出
016 第十六回　　兩軍陣姑娘逞英豪　樊梨花初會薛丁山
017 第十七回　　癡情女沉浸新婚夜　薛丁山一打樊梨花
018 第十八回　　講前因眾人釋疑霧　二路帥受罰勞軍營
019 第十九回　　白虎關前楊凡逞威　周青斃命元帥負傷
020 第二十回　　薛丁山陣前中暗器　魯國公寒江請英賢
021 第二十一回　　重大義陣前救危難　薛丁山二打樊梨花
022 第二十二回　　破大陣元帥受圍困　救爹爹丁山戰楊凡
023 第二十三回　　魯國公二請樊梨花　金雞嶺七遇薛應龍
024 第二十四回　　薛應龍討賞受侮辱　薛丁山三打樊梨花
025 第二十五回　　白虎陣老元戎負傷　白虎廟薛白袍捐軀
026 第二十六回　　魯國公三赴寒江關　薛丁山三請樊梨花
027 第二十七回　　三下寒江受盡辛苦　靈前懺悔痛訴衷情
028 第二十八回　　樊梨花大破白虎陣　程咬金領兵駱駝嶺
029 第二十九回　　黃金玲關前顯威儀　六唐將被俘囚水牢
030 第三十回　　開關獻城渠魁受戮　重修舊好班師還朝
