001 第一回　　聖天子有心滅寇　施妙策雙收名利
002 第二回　　眾朝臣無意興師　逞奸雄全無法紀
003 第三回　　稱私心滿載金銀　假公事大肆貪婪
004 第四回　　結奸黨暗商密計　訴前情大發狂言
005 第五回　　敘友誼縱談風月　俟回音著意煙花
006 第六回　　訪名花樂而忘返　通島寇喜從中來
007 第七回　　得音書功成名就　樂心情倚翠偎紅
008 第八回　　破寂寥隔壁像聲　演戲法當場獻彩
009 第九回　　假施為出兵接戰　真能乾赴敵交鋒
010 第十回　　牛頭山將星降塵世　驪珠洞杰士得天書
011 第十一回　　花下遇佳人牽情投宿　酒中聞大盜弄法驅凶
012 第十二回　　巨眼識英雄願招快婿　慧心推閨閣欲試真才
013 第十三回　　誇大口引起風波　試真情直往巢穴
014 第十四回　　訴情由崇正闢邪　傾肝膽志同道合
015 第十五回　　顯英雄古寺遇妖　救嬋娟荒山鬥法
016 第十六回　　繞道送姣娘三雄結義　關心除巨寇四海聞名
017 第十七回　　生鐵佛邪術驚人　鑽天龍血心解恨
018 第十八回　　約三事改邪歸正　赴雙龍除暴安良
019 第十九回　　董天林巧使迷光鏡　沈楚材連發掌心雷
020 第二十回　　比功夫計除巨寇　顯英豪力剿雙龍
021 第二十一回　　獨角獸奉命搶美　兩頭龍失勢遭瘟
022 第二十二回　　鬍鬚離嘴頓變青年　姬妾感恩免傷粉面
023 第二十三回　　聞小姐逢凶化吉　阿芙蓉作怪興妖
024 第二十四回　　惡妖魔暗布牢籠　美英雄明遭圈套
025 第二十五回　　聽海外奇談是非莫判　得道中至理邪正攸分
026 第二十六回　　談往事英雄遇鬼　著武經閨閣展才本
027 第二十七回　　感動芙蓉城主夢賜仙衣　瞞過邋遢國王幸全玉體
028 第二十八回　　傳邊報決意親征　定奇謀克期破敵
029 第二十九回　　察虛實頓生妙計　展威風悉仗奇能
030 第三十回　　勝敵兵全虧妙計　奏凱歌空憶美人
