000 本書說明
001 序
002 第一回　　擁資財訛生關部　通線索計釋洋商
003 第二回　　李國棟排難解紛　蘇萬魁急流勇退
004 第三回　　溫馨姐紅顏歎命　蘇笑官黑夜尋芳
005 第四回　　折桂軒鴛鴦開譜　題糕節越秀看山
006 第五回　　承撮合雙雕落翮　賣風流一姊傾心
007 第六回　　赫致甫別院藏嬌　李匠山曲江遇俠
008 第七回　　希壞榮河廳獻瓦　受屈軔關吏投繯
009 第八回　　申觀察遇恩復職　蘇佔村聞劫亡身
010 第九回　　焚夙券兒能干蠱　假神咒僧忽宣淫
011 第十回　　呂又逵飯店聯盟　姚霍武海豐陷獄
012 第十一回　　羊蹄嶺馮剛搏虎　鳳尾河何武屠牛
013 第十二回　　聞兄死囹圄騰身　趁客投闍黎獲寶
014 第十三回　　初出山論將談兵　權落草封官拜爵
015 第十四回　　郎薄幸忍恥吞聲　女多謀圖奸嘗糞
016 第十五回　　三奸設阱　五美潛蹤
017 第十六回　　璧重合小喬歸主　鏡高懸廣府懲奸
018 第十七回　　必元烏臺訴苦　吉士清遠逃災
019 第十八回　　袁侍郎枴封粵海　胡制憲退守循州
020 第十九回　　花燈娃孽障　甥館筆生涯
021 第二十回　　豐樂長義絕大光王　溫春才名高卞如玉
022 第二十一回　　故人書英雄歸命　一載假禦史完姻
023 第二十二回　　授中書文士從軍　擒護法妖人遁土
024 第二十三回　　姚參戎功成一夜　雷鐵嘴相定終身
025 第二十四回　　香粉吟成擲地聲　塤篪唱徹朝天樂
