001 蝴蝶媒 2295 第一回 　　靈隱寺禪僧貽寶倡　苧蘿村蝴蝶作冰人
002 蝴蝶媒 2296 第二回 　　華柔玉命題親考試　蔣青巖出像擬嬌嬈
003 蝴蝶媒 2297 第三回 　　認姑娘中堂感舊　因表姪東院留賓
004 蝴蝶媒 2298 第四回 　　樓下潛身聽私語　燈前遣悶譜琵琶
005 蝴蝶媒 2299 第五回 　　假女婿成真女婿　惡姻緣變好姻緣
006 蝴蝶媒 2300 第六回 　　小姐防嫌托心腹　韓香縫綻換詩詞
007 蝴蝶媒 2301 第七回 　　拂權臣竟遭枉禍　囑佳婿同上長安
008 蝴蝶媒 2302 第八回 　　李半仙燈下說因由　蔣青巖客中遇神騙
009 蝴蝶媒 2303 第九回 　　贈寒衣義女偷情　看花燈佳人密約
010 蝴蝶媒 2304 第十回 　　蔣青巖堅辭坦腹　袁太守強贅乘龍
011 蝴蝶媒 2305 第十一回 　　柳碧煙掃雪吟詩　蔣青巖挑燈說誓
012 蝴蝶媒 2306 第十二回 　　李半仙把酒談朝政　楊越公扶病受佳人
013 蝴蝶媒 2307 第十三回 　　三才子同登鼎甲　眾佳人共賞荷花
014 蝴蝶媒 2308 第十四回 　　泥金報三捷臨門　綰春樓雙珠入手
015 蝴蝶媒 2309 第十五回 　　華小姐催赴揚州約　袁太守重贅狀元郎
016 蝴蝶媒 2310 第十六回 　　六美共歸金馬客　眾賢同隱苧蘿山
