000 第一回　　村舍釀春醪　招來毒龍惡虎<br>　　名士逢俠客　言游金馬碧雞
001 第二回　　避禍作長征　白骨溝前誅猛獸<br>　　驚心臨絕嶺　野人寨裏見蠻姑
002 第三回　　射銀濤　孤身除怪蟒<br>　　爭家嗣　合謀弒親夫
003 第四回　　病榻話前因　腸斷大涯　思親何處<br>　　窮荒欣奇遇　心存故國　投老來歸
004 第五回　　通商惠工　恩柔野蠻<br>　　角力降虎　智伏神姑
005 第六回　　含沙射影　虎女忘恩<br>　　篝火天燈　獅王顯聖
006 第七回　　燈紅酒綠　野火燒春<br>　　月朗星稀　毛人行刺
007 第八回　　談異獸　奇跡溯洪荒<br>　　走孤藤　飛身行絕巘
008 第九回　　巨蹄踏黃沙　石破天驚追猛獸<br>　　拋刀飛血雨　晴開腹剖見明珠
009 第一○回　　智斬玄犛　五指峰英雄除害<br>　　燒殘野火　三千里孝女思親
010 第一一回　　兼弩穿雲　匝地蘆笙遺愛在<br>　　三凶前路　排天碧嶂旅愁多
011 第一二回　　卻敵仗神旗　一俠騰身驚醜虜<br>　　酬恩開盛宴　千人拍手唱情歌
012 第一三回　　憤凶淫單　刀探孽窟<br>　　憐弱質飛　豆救蠻姑
013 第一四回　　躋危崖　雙雄攀絞索<br>　　窺醜媟　一擊碎妖龍
014 第一五回　　電掣星飛　千凶畢命<br>　　情深意密　三劍同歸
015 第一六回　　貪美色　惡幕逢奸<br>　　拯孤窮　輿夫仗義
016 第一七回　　燒盤谷　智用奇兵<br>　　搜孽龍　同消丑類
017 第一八回　　蒂絕根誅　獨憐小草<br>　　煙霏霧湧　共話妖光
018 第一九回　　火樹銀花　積穢妖氛　飛木難<br>　　龍飛鳳舞　通靈劍　氣走青冥
019 第二○回　　綠野柳如煙　地勝桃源逢隱士<br>　　繡坪花自染　筵開水閣話飛兒
020 第二一回　　涉險探消息　入耳驚聞千里訊<br>　　深情同患難　此身忍負百年心
021 第二二回　　情切隱憂　山中選婿<br>　　恩深指點　槐下從師
022 第二三回　　額插金刀　處心誅女魅<br>　　瞳滲玉乳　無意拜仙靈
023 第二四回　　鬼影幢幢　古洞深宵殲巨憝<br>　　灘聲浩浩　長江千里送歸帆
024 第二五回　　遙山尋遠水　迷離春夢孕靈胎<br>　　明月掉輕舟　縹緲銀潢飛愛侶
