001 第一回　　勝秦師異人被虜
002 第二回　　不韋風鑒識異人
003 第三回　　安國君剖符立嗣
004 第四回　　智異人竊通朱氏
005 第五回　　不韋竊異人還國
006 第六回　　呂政立暗絕秦嗣
007 第七回　　始皇命徐福求仙
008 第八回　　張良使力士擊車
009 第九回　　趙高矯詔立胡亥
010 第十回　　芒碭山劉季斬蛇
011 第十一回　　會稽城項梁起義
012 第十二回　　范增獻策立楚後
013 第十三回　　章邯劫寨破項梁
014 第十四回　　項羽殺宋義救趙
015 第十五回　　楚項羽九敗章邯
016 第十六回　　秦趙高權傾中外
017 第十七回　　項羽聽諫伏章邯
018 第十八回　　收酈生智借張良
019 第十九回　　望夷宮二世被害
020 第二十回　　劉沛公還軍灞上
021 第二十一回　　范增觀象識興衰
022 第二十二回　　項伯夜走救張良
023 第二十三回　　賀亡秦鴻門設宴
024 第二十四回　　項羽殺嬰屠咸陽
025 第二十五回　　項羽違約僭王號
026 第二十六回　　霸王封天下諸侯
027 第二十七回　　陳平定計救漢王
028 第二十八回　　張子房燒絕棧道
029 第二十九回　　張良復為韓報仇
030 第三十回　　霸王拒諫烹韓生
031 第三十一回　　說韓信張良賣劍
032 第三十二回　　霸王江中弒義帝
033 第三十三回　　韓信背楚走咸陽
034 第三十四回　　韓信問路殺樵夫
035 第三十五回　　韓信褒中見滕公
036 第三十六回　　蕭相國深奇韓信
037 第三十七回　　韓信為治粟都尉
038 第三十八回　　蕭何月下追韓信
039 第三十九回　　會角書築壇拜將
040 第四十回　　蕭何議罪釋樊噲
041 第四十一回　　韓信執法斬殷蓋
042 第四十二回　　遣樊噲明修棧道
043 第四十三回　　韓信暗計智章平
044 第四十四回　　諭父老漢王佈德
045 第四十五回　　辛奇斬虎遇韓信
046 第四十六回　　韓信火攻破章邯
047 第四十七回　　淹廢丘三秦悉定
048 第四十八回　　韓信用計取咸陽
049 第四十九回　　張良說魏豹歸漢
050 第五十回　　調陸賈智賺申陽
051 第五十一回　　王陵迎太公入漢
052 第五十二回　　樊噲擒伏司馬卬
053 第五十三回　　懼楚罪陳平歸漢
054 第五十四回　　董三老遮道說漢
055 第五十五回　　楚霸王彭城大戰
056 第五十六回　　漢王收兵入滎陽
057 第五十七回　　張良智韓信伐楚
058 第五十八回　　用車戰韓信勝楚
059 第五十九回　　許負說魏豹反漢
060 第六十回　　知漢興陵母伏劍
061 第六十一回　　韓信斬夏悅張仝
062 第六十二回　　背水陣韓信破趙
063 第六十三回　　行反間范增遭貶
064 第六十四回　　出滎陽紀信誑楚
065 第六十五回　　漢周苛樅公死節
066 第六十六回　　漢王馳趙壁奪印
067 第六十七回　　楚霸王復取外黃
068 第六十八回　　酈食其說齊降漢
069 第六十九回　　烹酈生韓信背約
070 第七十回　　韓信囊沙斬龍且
071 第七十一回　　蒯徹說韓信背漢
072 第七十二回　　霸王伏弩射漢王
073 第七十三回　　廣武山楚漢會兵
074 第七十四回　　置太公挾漢退兵
075 第七十五回　　指鴻溝割地講和
076 第七十六回　　會固陵楚漢交兵
077 第七十七回　　張良會諸侯伐楚
078 第七十八回　　漢王大兵出成皋
079 第七十九回　　周蘭諫霸王出師
080 第八十回　　九里山十面埋伏
081 第八十一回　　楚霸王會垓大戰
082 第八十二回　　張子房悲歌散楚
083 第八十三回　　霸王帳下別虞姬
084 第八十四回　　楚霸王自刎烏江
085 第八十五回　　漢王改韓信封楚
086 第八十六回　　齊田橫義士死節
087 第八十七回　　婁敬議遷都咸陽
088 第八十八回　　漢高帝偽游雲夢
089 第八十九回　　漢高帝兵困白登
090 第九十回　　張良從赤松子游
091 第九十一回　　陳豨監趙代謀叛
092 第九十二回　　漢高帝邯鄲駐馬
093 第九十三回　　呂后未央斬韓信
094 第九十四回　　陸賈智調蒯文通
095 第九十五回　　栗布洛陽哭彭越
096 第九十六回　　淮南王英布反漢
097 第九十七回　　四皓羽翼定太子
098 第九十八回　　漢帝封趙王如意
099 第九十九回　　長樂宮高帝拒醫
100 第一百回　　呂太后謀誅功臣
101 第一百零一回　　漢惠帝坐享太平
