001 第一回　　靈根育孕源流出　心性修持大道生
002 第二回　　悟徹菩提真妙理　斷魔歸本合元神
003 第三回　　四海千山皆拱伏　九幽十類盡除名
004 第四回　　官封弼馬心何足　名注齊天意未寧
005 第五回　　亂蟠桃大聖偷丹　反天宮諸神捉怪
006 第六回　　觀音赴會問原因　小聖施威降大聖
007 第七回　　八卦爐中逃大聖　五行山下定心猿
008 第八回　　我佛造經傳極樂　觀音奉旨上長安
009 第九回　　陳光蕊赴任逢災　江流僧復讎報本
010 第十回　　老龍王拙計犯天條　魏丞相遺書託冥吏
011 第十一回　　遊地府太宗還魂　進瓜果劉全續配
012 第十二回　　唐王秉誠修大會　觀音顯聖化金蟬
013 第十三回　　陷虎穴金星解厄　　雙叉嶺伯欽留僧
014 第十四回　　心猿歸正　六賊無蹤
015 第十五回　　蛇盤山諸神暗佑　鷹愁澗意馬收韁
016 第十六回　　觀音院僧謀寶貝　黑風山怪竊袈裟
017 第十七回　　孫行者大鬧黑風山　觀世音收伏熊羆怪
018 第十八回　　觀音院唐僧脫難　高老莊大聖除魔
019 第十九回　　雲棧洞悟空收八戒　浮屠山玄奘受心經
020 第二十回　　黃風嶺唐僧有難　半山中八戒爭先
021 第二十一回　　護法設莊留大聖　須彌靈吉定風魔
022 第二十二回　　八戒大戰流沙河　木叉奉法收悟淨
023 第二十三回　　三藏不忘本　四聖試禪心
024 第二十四回　　萬壽山大仙留故友　五莊觀行者竊人參
025 第二十五回　　鎮元仙趕捉取經僧　孫行者大鬧五莊觀
026 第二十六回　　孫悟空三島求方　觀世音甘泉活樹
027 第二十七回　　屍魔三戲唐三藏　聖僧恨逐美猴王
028 第二十八回　　花果山群妖聚義　黑松林三藏逢魔
029 第二十九回　　脫難江流來國土　承恩八戒轉山林
030 第三十回　　邪魔侵正法　意馬憶心猿
031 第三十一回　　豬八戒義激猴王　孫行者智降妖怪
032 第三十二回　　平頂山功曹傳信　蓮花洞木母逢災
033 第三十三回　　外道迷真性　元神助本心
034 第三十四回　　魔王巧算困心猿　大聖騰那騙寶貝
035 第三十五回　　外道施威欺正性　心猿獲寶伏邪魔
036 第三十六回　　心猿正處諸緣伏　劈破傍門見月明
037 第三十七回　　鬼王夜謁唐三藏　悟空神化引嬰兒
038 第三十八回　　嬰兒問母知邪正　金木參玄見假真
039 第三十九回　　一粒丹砂天上得　三年故主世間生
040 第四十回　　嬰兒戲化禪心亂　猿馬刀歸木母空
041 第四十一回　　心猿遭火敗　木母被魔擒
042 第四十二回　　大聖慇懃拜南海　觀音慈善縛紅孩
043 第四十三回　　黑河妖孽擒僧去　西洋龍子捉鼉回
044 第四十四回　　法身元運逢車力　心正妖邪度脊關
045 第四十五回　　三清觀大聖留名　車遲國猴王顯法
046 第四十六回　　外道弄強欺正法　心猿顯聖滅諸邪
047 第四十七回　　聖僧夜阻通天水　金木垂慈救小童
048 第四十八回　　魔弄寒風飄大雪　僧思拜佛履層冰
049 第四十九回　　三藏有災沉水宅　觀音救難現魚籃
050 第五十回　　情亂性從因愛慾　神昏心動遇魔頭
051 第五十一回　　心猿空用千般計　水火無功難煉魔
052 第五十二回　　悟空大鬧金
053 第五十三回　　禪主吞餐懷鬼孕　黃婆運水解邪胎
054 第五十四回　　法性西來逢女國　心猿定計脫煙花
055 第五十五回　　色邪淫戲唐三藏　性正修持不壞身
056 第五十六回　　神狂誅草寇　道迷放心猿
057 第五十七回　　真行者落伽山訴苦　假猴王水簾洞謄文
058 第五十八回　　二心攪亂大乾坤　一體難修真寂滅
059 第五十九回　　唐三藏路阻火焰山　孫行者一調芭蕉扇
060 第六十回　　牛魔王罷戰赴華筵　孫行者二調芭蕉扇
061 第六十一回　　豬八戒助力敗魔王　孫行者三調芭蕉扇
062 第六十二回　　滌垢洗心惟掃塔　縛魔歸主乃修身
063 第六十三回　　二僧蕩怪鬧龍宮　群聖除邪獲寶貝
064 第六十四回　　荊棘嶺悟能努力　木仙庵三藏談詩
065 第六十五回　　妖邪假設小雷音　四眾皆遭大厄難
066 第六十六回　　諸神遭毒手　彌勒縛妖魔
067 第六十七回　　拯救駝羅禪性穩　脫離穢污道心清
