001 觀音菩薩傳奇 12724 第一回 　　溯源流書生說法　警癡頑菩薩化身
002 觀音菩薩傳奇 12725 第二回 　　濁酒三杯涼亭小宴　明珠一顆好夢投懷
003 觀音菩薩傳奇 12726 第三回 　　怪老人妙舌說慈航　小公主停哭聽佛偈
004 觀音菩薩傳奇 12727 第四回 　　物色乘龍欲傳大位　閒觀鬥蚊引動慈心
005 觀音菩薩傳奇 12728 第五回 　　救孤蟬公主受傷　醫創瘢國王懸賞
006 觀音菩薩傳奇 12729 第六回 　　眾庸醫都無丹鼎藥　怪修士指說雪山蓮
007 觀音菩薩傳奇 18320 第七回 　　須彌山迦葉尋蓮　興林國賈后受病
008 觀音菩薩傳奇 12731 第八回 　　留偈語暗藏後事　感死生了悟禪機
009 觀音菩薩傳奇 12732 第九回 　　夢見佛容喜出望外　違逆父命罰作灌園
010 觀音菩薩傳奇 12733 第十回 　　祝壽筵前暢言妙旨　再貶廚下雜做苦工
011 觀音菩薩傳奇 12734 第十一回 　　一念精誠感彼宮女　半宵操作憐此勞人
012 觀音菩薩傳奇 12735 第十二回 　　鑒精誠老父回心　願修行女奴宣誓
013 觀音菩薩傳奇 12736 第十三回 　　興土木重修金光寺　定良辰捨身耶摩山
014 觀音菩薩傳奇 12737 第十四回 　　試金刀斬斷六根　入空門靜觀三界
015 觀音菩薩傳奇 12738 第十五回 　　一念興定中塵劫現　功行滿心上白蓮生
016 觀音菩薩傳奇 12739 第十六回 　　了因緣往朝須彌山　施米穀安度神鴉嶺
017 觀音菩薩傳奇 12740 第十七回 　　遇善土指點前程　戀風景旁生枝節
018 觀音菩薩傳奇 12741 第十八回 　　金輪山大師被劫　塞氏堡同伴求援
019 觀音菩薩傳奇 12742 第十九回 　　草履幾雙黑人爭去　聖尼一位白象馱來
020 觀音菩薩傳奇 12743 第二十回 　　妙善師赤足趕行程　加拉族遊牧居沙漠
021 觀音菩薩傳奇 12744 第二十一回 　　盧莊求宿又遇因緣　糯米相貽治癒痼疾
022 觀音菩薩傳奇 12745 第二十二回 　　天馬峰殲除虎患　琉璃城路得光明
023 觀音菩薩傳奇 12746 第二十三回 　　上高峰巴蛇吞象　入幻境神將擊人
024 觀音菩薩傳奇 12747 第二十四回 　　遇白熊三尼裝假死　避靈猿七步學朝真
025 觀音菩薩傳奇 12748 第二十五回 　　絕嶺登臨迷津悟澈　高談往事豎子弄人
026 觀音菩薩傳奇 12749 第二十六回 　　苦行千般道成九品　當頭一棒喝破三千
027 觀音菩薩傳奇 12750 第二十七回 　　觀自在南海清修　憫苦厄中原化度
028 觀音菩薩傳奇 12751 第二十八回 　　灑甘霖救濟旱災　賣鮮魚感化下士
029 觀音菩薩傳奇 12752 第二十九回 　　責貢蛤蜊民不堪命　消除疫癘手到生春
030 觀音菩薩傳奇 12753 第三十回 　　遊五臺夷奴盜法像　拒寇亂菩薩現奇容
031 觀音菩薩傳奇 12754 第三十一回 　　蓮花峰番僧面壁　少林寺李全招降
032 觀音菩薩傳奇 12755 第三十二回 　　少室山大士退李軍　洛陽市群生照寶鏡
033 觀音菩薩傳奇 12756 第三十三回 　　幻香梨小警貪頑　托夢兆庇護善士
034 觀音菩薩傳奇 18321 第三十四回 　　水月朦朧慈容隱現　情懷蕩漾浪子操刀
035 觀音菩薩傳奇 18322 第三十五回 　　詳偈語擒捉康七　入空門剃度一峰
036 觀音菩薩傳奇 12759 第三十六回 　　畫觀音指示善士　賣藥草欣逢孝子
037 觀音菩薩傳奇 12760 第三十七回 　　治危病煎服薄荷湯　醫痧症傳說觀音柳
038 觀音菩薩傳奇 12761 第三十八回 　　嚴居土建造白衣庵　劉賢婦割股療姑疾
039 觀音菩薩傳奇 12762 第三十九回 　　吳孝子萬里尋親　觀世音幾番現示
040 觀音菩薩傳奇 12763 第四十回 　　釣金鼇解除苦難　歸南海結束全書
