001 說呼全傳 5944 第一回 　　呼家將遊春戲獵　龐黑虎思美喪命
002 說呼全傳 5945 第二回 　　龐丞相忍氣吞聲　宋仁宗囑托訪美
003 說呼全傳 5946 第三回 　　龐丞相請駕遊園　多花女花園獻媚
004 說呼全傳 5947 第四回 　　龐貴妃欺僭正宮　呼得模遭奸設計
005 說呼全傳 5948 第五回 　　龐丞相父女弄權　呼家將一門受戮
006 說呼全傳 5949 第六回 　　王金蓮奇緣巧遇　包文正力救呼郎
007 說呼全傳 5950 第七回 　　包文正硬退龐奸　呼守勇病倒王園
008 說呼全傳 5951 第八回 　　王員外巧選東牀婿　牛夫人勸嫂聯姻眷
009 說呼全傳 5952 第九回 　　欽天監觀占星象　龐貴妃計觸龍情
010 說呼全傳 5953 第十回 　　龐丞相乘機進剿　包文正奉旨入覲
011 說呼全傳 5954 第十一回 　　鬥夫人怒打龐好　趙鳳奴山前大戰
012 說呼全傳 5955 第十二回 　　趙大郎與妹完婚　龐丞相高山大敗
013 說呼全傳 5956 第十三回 　　龐總兵欽召進京　趙大郎演習兵法
014 說呼全傳 5957 第十四回 　　龐四虎四路追趕　楊令公顯聖驚龐
015 說呼全傳 5958 第十五回 　　五霸山大郎遇寇　王金蓮喜產麟兒
016 說呼全傳 5959 第十六回 　　太行山守信拜別　楊家將保送甥兒
017 說呼全傳 5960 第十七回 　　齊國寶大演陣法　老夫人擂台選婿
018 說呼全傳 5961 第十八回 　　石頭陀打下擂台　呼守信訪兄別丈
019 說呼全傳 5962 第十九回 　　桃花潭守信收妖　新唐國公主招親
020 說呼全傳 5963 第二十回 　　花公主許配東牀　呼延慶書房講武
021 說呼全傳 5964 第二十一回 　　騎石虎延慶逍遙　龐貴妃奸謀漸露
022 說呼全傳 5965 第二十二回 　　萬花谷呼郎受法　飛石關王環相遇
023 說呼全傳 5966 第二十三回 　　呼延慶辭師歸裡　王金蓮新唐訪夫
024 說呼全傳 5967 第二十四回 　　齊月娥出獵遇美　忠孝王顯聖囑兒
025 說呼全傳 5968 第二十五回 　　呼延慶擒妖得偶　守信偷祭鐵丘墳
026 說呼全傳 5969 第二十六回 　　牛夫人計救呼郎　包文正法場放綁
027 說呼全傳 5970 第二十七回 　　呼家將兄妹相遇　鐵丘墳兄妹盜祭
028 說呼全傳 5971 第二十八回 　　呼延慶力救太子　趙文姬夢仙指引
029 說呼全傳 5972 第二十九回 　　仙巖洞延龍遇美　龐飛虎割耳逃回
030 說呼全傳 5973 第三十回 　　龐四虎火燒祝家莊　祝素娟飛馬往西涼
031 說呼全傳 5974 第三十一回 　　花瑞蓮雄關計放　四虎將兵遭迷霧
032 說呼全傳 5975 第三十二回 　　龐東海領兵助虐　天定山金蓮剖訴
033 說呼全傳 5976 第三十三回 　　呼延慶新唐見父　仙山洞公主成親
034 說呼全傳 5977 第三十四回 　　天定山龐琦大戰　小道童大作妖法
035 說呼全傳 5978 第三十五回 　　岳鳴臯逞術大戰　天定山國寶受困
036 說呼全傳 5979 第三十六回 　　呼家將大破五行陣　金牛崗殺死龐東海
037 說呼全傳 5980 第三十七回 　　老八王硬指奏妃　呼家將奉旨除奸
038 說呼全傳 5981 第三十八回 　　三家村女將交兵　呼延慶出關提兵
039 說呼全傳 5982 第三十九回 　　龐牛虎戲美亡身　呼家將領兵過關
040 說呼全傳 5983 第四十回 　　呼家將力殲龐奸　宋仁宗封贈團圓
