001 第一卷　　俞伯牙摔琴謝知音
002 第二卷　　莊子休鼓盆成大道
003 第三卷　　王安石三難蘇學士
004 第四卷　　拗相公飲恨半山堂
005 第五卷　　呂大郎還金完骨肉
006 第六卷　　俞仲舉題詩遇上皇
007 第七卷　　陳可常端陽仙化
008 第八卷　　崔待詔生死冤家
009 第九卷　　李謫仙醉草嚇蠻書
010 第十卷　　錢舍人題詩燕子樓
011 第十一卷　　蘇知縣羅衫再合
012 第十二卷　　范鰍兒雙鏡重圓
013 第十三卷　　三現身包龍圖斷冤
014 第十四卷　　一窟鬼癩道人除怪
015 第十五卷　　金令史美婢酬秀童
016 第十六卷　　小夫人金錢贈年少
017 第十七卷　　鈍秀才一朝交泰
018 第十八卷　　老門生三世報恩
019 第十九卷　　崔衙內白鷂招妖
020 第二十卷　　計押番金鰻產禍
021 第二十一卷　　趙太祖千里送京娘
022 第二十二卷　　宋小官團圓破氈笠
023 第二十三卷　　樂小舍棄生覓偶
024 第二十四卷　　玉堂春落難逢夫
025 第二十五卷　　桂員外途窮懺悔
026 第二十六卷　　唐解元一笑姻緣
027 第二十七卷　　假神仙大鬧華光廟
028 第二十八卷　　白娘子永鎮雷峰塔
029 第二十九卷　　宿香亭張浩遇鶯鶯
030 第三十卷　　金明池吳清逢愛愛
031 第三十一卷　　趙春兒重旺曹家莊
032 第三十二卷　　杜十娘怒沉百寶箱
033 第三十三卷　　喬彥傑一妾破家
034 第三十四卷　　王嬌鸞百年長恨
035 第三十五卷　　況太守斷死孩兒
036 第三十六卷　　皂角林大王假形
037 第三十七卷　　萬秀娘仇報山亭兒
038 第三十八卷　　蔣淑真刎頸鴛鴦會
039 第三十九卷　　福祿壽三星度世
040 第四十卷　　旌陽宮鐵樹鎮妖
