000 本書說明
001 序
002 第一回　　凌貴興妄想功名　馬半仙細談風水
003 第二回　　求購宅倒是顛非　扮假棺爭長論短
004 第三回　　繪猛虎宗孔獻計　托危病凌氏修書
005 第四回　　慈母潛身聽媳話　強徒施掌博黃黏
006 第五回　　黃苗岡嘍囉掘芋　中秋夜姊妹題詩
007 第六回　　中庭上妹子直諫　北沙畔賊匪橫行
008 第七回　　奪椅桌預早移書　慶花壇終宵鬧酒
009 第八回　　勸夫哥姑嫂自盡　糾盜賊叔姪同謀
010 第九回　　命償命祈伯喪良　賊薦賊簡當設計
011 第十回　　林大有改裝登岸　張風哥丐食沙街
012 第十一回　　張義丐偷報奔逃　凌惡監暗充打劫
013 第十二回　　凌美閒煙攻石室　黃千總兵按沙街
014 第十三回　　黃縣宰相驗七屍　何誼父推薦良友
015 第十四回　　施智伯仗義謄詞　簡勒先貪財設計
016 第十五回　　拚罰俸孺人催審　指溢保干證遭刑
017 第十六回　　張風作嗔辭買囑　天來含淚具遵依
018 第十七回　　負重財爵興往鎮　受夾棍張風歸天
019 第十八回　　凌貴興交結李豐　施智伯拜服東來
020 第十九回　　施智伯怒拗毛錐　孔制台嚴拿賊黨
021 第二十回　　楊福單拳憐大有　李豐雙足跪高全
022 第二十一回　　府太爺置酒求謀　簡勒先快船趕賄
023 第二十二回　　端州署貴興反案　雙門底天來被辱
024 第二十三回　　梁天來攔輿遞稟　蔡顯洪念友遺金
025 第二十四回　　程醫生賺奸輔友　林賊首領賞開筵
026 第二十五回　　訪天來爵興點賊　托陳式德先贈書
027 第二十六回　　和平縣大有分兵　泗昌行區明度曲
028 第二十七回　　林大有宿娼被獲　張阿風托夢防奸
029 第二十八回　　泗昌行裝箱作假　南雄嶺遇雨逃生
030 第二十九回　　蘇臬台微行訪察　凌公子無意逢迎
031 第三十回　　梁祈福身遭橫禍　區元榜智激良朋
032 第三十一回　　淫女兒通姦被逐　富家翁屈打成招
033 第三十二回　　念母舅程書探監　護主僕天爵登舟
034 第三十三回　　蘇按察細查田案　粱庶民假扮新科
035 第三十四回　　惶恐灘遇驚喪膽　滕王閣觸景生愁
036 第三十五回　　鄱陽湖祈神庇護　常王山遇盜驚慌
037 第三十六回　　北新關當官納稅　神州城藉友投書
038 第三十七回　　給事衙宜人認親　保和殿吏部奏本
039 第三十八回　　程進士觸犯天顏　馬太師撫慰民望
040 第三十九回　　孔尚書御前對局　梁監生殿角鳴冤
041 第四十回　　韶州關參軍提兵　廣州府欽差結案
