001 第一回　　陸直鎮當筵說嘴　元和縣擲稟傷心
002 第二回　　沈金標無顏考月課　柳國斌得意打鹽梟
003 第三回　　什長有才擊船獲利　老爺發怒隔壁擔心
004 第四回　　裝模樣鄉紳擺酒　運財物知縣貪贓
005 第五回　　兩角洋錢動嗟輪舶　一封電報敗興勾欄
006 第六回　　家室勃谿闊買辦無端忍氣　園林消遣窮候補初次開心
007 第七回　　恣遊覽終朝尋勝地　急打點連夜走京師
008 第八回　　崇效寺聊寄遊蹤　同慶園快聆妙曲
009 第九回　　失鑽戒大人恨小利　誆冤桶賤價得名駒
010 第十回　　試驊騮天橋逞步　放鷹犬西山打圍
011 第十一回　　鄉秀才省闈觀光　老貢生寓樓談藝
012 第十二回　　講維新副貢失蒙館　作冶游公子出學堂
013 第十三回　　講哲學妓院逞豪談　讀薦書寓齋會奇客
014 第十四回　　安塏第改裝論價值　薈芳裡碰和起競爭
015 第十五回　　入棧房有心學鼠竊　辦書報創議起鴻規
016 第十六回　　開書局志士巧賺人　得電報富翁歸視妾
017 第十七回　　出鄉里用心尋逆子　入學校設計逼衰親
018 第十八回　　仗義疏財解圍茶館　賞心樂事並轡名園
019 第十九回　　花冤錢巧中美人計　打急電反動富翁疑
020 第二十回　　學切口中途逢小竊　搭架子特地請名醫
021 第二十一回　　掉畫船夕陽奏簫鼓　開綺筵明月照琴樽
022 第二十二回　　祝萬壽藍頂耀榮華　借士金綠毛招禍患
023 第二十三回　　斷烏龜難為堂上吏　賠鳥雀訛盡路旁人
024 第二十四回　　擺架子空添一夜忙　鬧標勁浪擲萬金產
025 第二十五回　　演壽戲名角弄排場　報參案章京漏消息
026 第二十六回　　落御河總督受驚惶　入禁省章京逞權力
027 第二十七回　　紫禁試說軍機苦　白屋誰憐御史窮
028 第二十八回　　急告幫窮員謀卒歲　濫擺闊敗子快遊春
029 第二十九回　　坐華筵像姑獻狐媚　入賭局狎友聽雞鳴
030 第三十回　　割靴腰置酒天祿堂　栽筋斗復試保和殿
