001 第一卷　　兩縣令競義婚孤女
002 第二卷　　三孝廉讓產立高名
003 第三卷　　賣油郎獨占花魁
004 第四卷　　灌園叟晚逢仙女
005 第五卷　　大樹坡義虎送親
006 第六卷　　小水灣天狐貽書
007 第七卷　　錢秀才錯占鳳凰儔
008 第八卷　　喬太守亂點鴛鴦譜
009 第九卷　　陳多壽生死夫妻
010 第十卷　　劉小官雌雄兄弟
011 第十一卷　　蘇小妹三難新郎
012 第十二卷　　佛印師四調琴娘
013 第十三卷　　勘皮靴單證二郎神
014 第十四卷　　鬧樊樓多情周勝仙
015 第十五卷　　赫大卿遺恨鴛鴦縧
016 第十六卷　　陸五漢硬留合色鞋
017 第十七卷　　張孝基陳留認舅
018 第十八卷　　施潤澤灘闕遇友
019 第十九卷　　白玉孃忍苦成夫
020 第二十卷　　張廷秀逃生救父
021 第二十一卷　　張淑兒巧智脫楊生
022 第二十二卷　　呂洞賓飛劍斬黃龍
023 第二十三卷　　金海陵縱欲亡身
024 第二十四卷　　隋煬帝逸遊召譴
025 第二十五卷　　獨孤生歸途鬧夢
026 第二十六卷　　薛錄事魚服證仙
027 第二十七卷　　李玉英獄中訟冤
028 第二十八卷　　吳衙內鄰舟赴約
029 第二十九卷　　盧太學詩酒傲公侯
030 第三十卷　　李汧公窮邸遇俠客
031 第三十一卷　　鄭節使立功神臂弓
032 第三十二卷　　黃秀才徼靈玉馬墜
033 第三十三卷　　十五貫戲言成巧禍
034 第三十四卷　　一文錢小隙造奇冤
035 第三十五卷　　徐老僕義憤成家
036 第三十六卷　　蔡瑞虹忍辱報仇
037 第三十七卷　　杜子春三入長安
038 第三十八卷　　李道人獨步雲門
039 第三十九卷　　汪大尹火焚寶蓮寺
040 第四十卷　　馬當神風送滕王閣
