001 醒名花 2327 第一回 　　吉士懷春題紫燕　侍姬遊戲學紅娘
002 醒名花 2328 第二回 　　范道人遺囊顯道術　梅杏娘平地玷冰清
003 醒名花 2329 第三回 　　高知縣憐才假索詠　陶總兵念舊實親朋
004 醒名花 2330 第四回 　　雙流縣贈金逃難　萬安屯借寇棲蹤
005 醒名花 2331 第五回 　　奔父命巧遇攢戟嶺　避仇人深羈不染庵
006 醒名花 2332 第六回 　　慈航渡慣作陷人坑　連理枝陰謀劫妹計
007 醒名花 2333 第七回 　　假扮盜自投法網　真仗義暫寄嬌娥
008 醒名花 2334 第八回 　　持大節立功鯨浪　設奇謀顯智蓮壇
009 醒名花 2335 第九回 　　陶參府遣使求賢　賈大王折衝衛國
010 醒名花 2336 第十回 　　陶藥侯重荷天恩　范雲侶復申仙語
011 醒名花 2337 第十一回 　　修法事姪女歸姑　慶壽筵親翁得婦
012 醒名花 2338 第十二回 　　武偽將棄暗投明　范真人將機就計
013 醒名花 2339 第十三回 　　眾魔軍孤山覆沒　諸義俠麟閣留名
014 醒名花 2340 第十四回 　　草奏章報恩留直　傳好信倚玉連枝
015 醒名花 2341 第十五回 　　證錯箋花燭話前因　脫空門情郎完舊約
016 醒名花 2342 第十六回 　　悟天緣樽前成八詠　迷富貴醒後卻三公
