001 醫界鏡 6150 第一回 　　開宗明義講生理　遷地行醫遇機緣
002 醫界鏡 6151 第二回 　　衛生取法得傳新　妙令翻新征本草
003 醫界鏡 6152 第三回 　　治病競投霞震火　思家不棄糟糠妻
004 醫界鏡 6153 第四回 　　光棍感恩除瘧疾　大王設計請醫生
005 醫界鏡 6154 第五回 　　劉廷楠山上說降　貝仲英江邊遇盜
006 醫界鏡 6155 第六回 　　張善人衛生談要略　錢塘縣簽票拿名醫
007 醫界鏡 6156 第七回 　　診關道遠投鎮江府　拜醫王大鬧海天村
008 醫界鏡 6157 第八回 　　惡棍設謀陷糞窖　名醫誤事下血孩
009 醫界鏡 6158 第九回 　　寫別字庸醫受辱　詳種子妙法翻新
010 醫界鏡 6159 第十回 　　內廷請脈醫士受驚　外國本經大方貽笑
011 醫界鏡 6160 第十一回 　　平山堂上名醫大會　喇叭聲中方子錯開
012 醫界鏡 6161 第十二回 　　百歲老人買假藥　一朝強種有靈丹
013 醫界鏡 6162 第十三回 　　誤病症割除鬍子　巧姻緣打下禍胎
014 醫界鏡 6163 第十四回 　　小書生折辱老名醫　真才女鍾情佳公子
015 醫界鏡 6164 第十五回 　　六監督虛文興醫學　瞿醫生傷命鬧冤魂
016 醫界鏡 6165 第十六回 　　吳雲翥因醉誤佳期　莫夫人赴齋成好會
017 醫界鏡 6166 第十七回 　　賢侯誤喪柱石身　庸醫遺失珊瑚頂
018 醫界鏡 6167 第十八回 　　論醫學中西一貫　續良緣桑梓同賦
019 醫界鏡 6168 第十九回 　　花開紅白詩同賦　醫判高低訣易知
020 醫界鏡 6169 第二十回 　　棄誓背盟生死離別　冒牌售藥暗詐明欺
021 醫界鏡 6170 第二十一回 　　吳雲翥論功受賞　賈娉娘借體還魂
022 醫界鏡 6171 第二十二回 　　貝祖蔭巧避危症　楊美棠善治下疳
