000 序
001 第一回　　申孝思他鄉臥病　周敦禮苦口施方
002 第二回　　智玉樓偶成絕句　謝杏村巧斷奇冤
003 第三回　　作假券楊村行霸　懸明鏡開府懲奸
004 第四回　　李金華茅店思親　杜雨亭荒村養靜
005 第五回　　紫竹院對月談心　綠楊溪盤膝觀水
006 第六回　　談三教一脈歸源　借四書群儒講學
007 第七回　　鬧禪林僕人仗義　開聖教大眾歸心
008 第八回　　遇同鄉逢凶化吉　述往事入耳驚心
009 第九回　　娶雙媳同胞分產　養二子老叟傷心
010 第十回　　盡朋情因財設計　聽婦言顯報通靈
011 第十一回　　父憐子帶淚求神　婦勸夫捨身立戒
012 第十二回　　灶主前立歸正路　燈光下坐待佳音
013 第十三回　　不得志客寓揮毫　為求心禪堂請教
014 第十四回　　登法壇沙彌受戒　說真諦乞士參禪
015 第十五回　　講因果大眾驚心　說菩提沙門叩問
016 第十六回　　辭高僧偶逢店主　訪故友力勸農人
017 第十七回　　大施捨惠及窮民　善說詞罪歸縣牧
018 第十八回　　開新例善士恤貧　改舊章窮民向化
019 第十九回　　申元德夜夢神醫　黃誠齋默求佛力
020 第二十回　　遭陰險幸逢乞丐　施毒手誤害親生
021 第二十一回　　兄為弟竭力求方　母因子苦思成疾
022 第二十二回　　黃孝子割股醫親　陶萬一良言勸妹
023 第二十三回　　辨是非眾議驚人　聞物議直言勸母
024 第二十四回　　立後嗣苦心用盡　借他人數語陳明
025 第二十五回　　論閒言農人破弊　修聖醮信女聽經
026 第二十六回　　醮棚中老媼示眾　古道畔義士觀風
027 第二十七回　　傷心詩孝思擱筆　離母計毛勝傳書
028 第二十八回　　作謠言央人代筆　寫回信大義參天
029 第二十九回　　講家書承澤回心　謁禪林陶同議館
030 第三十回　　立新塾古剎延師　回故鄉禪林餞別
031 第三十一回　　客寓中直言立訓　行船上帶醉閒談
032 第三十二回　　養素舫欣賞良言　衍慶堂樂觀善語
033 第三十三回　　設法壇尊行三教　垂慈訓化及百工
034 第三十四回　　柏載厚立志修心　申孝思正言訓姪
035 第三十五回　　王篤生婉言勸友　申應鑄立願放生
036 第三十六回　　江寧府同興善社　回龍澗力辟邪門
037 第三十七回　　崇正教引邪歸正　放生靈起死回生
038 第三十八回　　戒殺生殺生受報　勸歸正歸正獲安
039 第三十九回　　辨理欲邪正分明　論是非死生立判
040 第四十回　　搜道要旁門露相　講心學正教歸元
041 第四十一回　　八里橋計殺謝古　三家店大戰坤奇
042 第四十二回　　趙乾德發心助戰　杜鑒泉出榜招安
043 第四十三回　　借回軍凱歌復奏　賚聖詔榮任高升
044 第四十四回　　回故鄉險遭賊劫　被大難重勵冰操
045 第四十五回　　難中難重逢命案　錯又錯大破奇冤
046 第四十六回　　見州主細訴奇緣　諭平民同歸大化
047 第四十七回　　逢乞丐仗義恤孤　避凶鋒舍財憐寡
048 第四十八回　　毒婦人自遇毒緣　善男子終獲善報
049 第四十九回　　謁叢林誠心拜懺　寓德水立志謀生
050 第五十回　　馮助善遇事驚心　李金華攜朋就館
051 第五十一回　　立規模以古為型　閒談論如神暗助
052 第五十二回　　論天良信口談天　觀法諭誠心問法
053 第五十三回　　道法中與僧無異　宦場上惟利有靈
054 第五十四回　　明燈下細論忠奸　照壁前詳觀政教
055 第五十五回　　佳徒弟才高責重　酸秀才弊大心窮
056 第五十六回　　齊宗正戒人詬訟　喻太初勸友完婚
057 第五十七回　　敦大義代友迎親　念舊恩撫孤送葬
058 第五十八回　　聽友言一心歸隱　奉親命雙孝入庠
059 第五十九回　　鄭子厚誠心求教　賀淑媛竭力報恩
060 第六十回　　義中孝上格天心　儒內仙往生佛國
061 第六十一回　　紫竹院杜淦顯靈　會試場金華獲報
062 第六十二回　　保和殿承恩及第　十間房挾勢霸婚
063 第六十三回　　苦奔波沿途私訪　大顯耀奉旨親迎
064 第六十四回　　大慈悲金鍾度世　廣勸化竹筆傳奇
