001 第一回　　秦始皇御駕親征　趙廉杰遣將拒敵
002 第二回　　破界牌廉杰喪命　攻燕城王翦揚威
003 第三回　　老都尉燕州盡忠　小英雄大堂演武
004 第四回　　王翦恃強逢勁敵　孫燕破劍闖重圍
005 第五回　　孫燕臨淄取救兵　沈祥金殿諫勇將
006 第六回　　戰王翦樂強喪命　敵袁達蒙騰傾生
007 第七回　　中寶劍袁達冤亡　受亂箭李牧自刎
008 笫八回　　指迷津毛遂破雲封　犯殺戒孫臏下天台
009 第九回　　南郡王興兵赴敵　孫賽花中寶捐軀
010 第十回　　逞寶貝劍誅燕將　用魔法石打秦軍
011 第十一回　　幻身形戲弄王翦　祭水火燒陷秦營
012 第十二回　　子陵遣將攻易州　孫臏設計破秦敵
013 第十三回　　羞大將子陵求救　憤前怒叔陽下山
014 第十四回　　黃叔陽五路伏兵　孫伯齡一旗破法
015 第十五回　　叔陽焚香請道友　天民作法擺陣圖
016 第十六回　　伯齡身陷金沙陣　三徒命喪誅仙陣
017 第十七回　　闖惡陣孫燕回營　聞信香馬鈴遣子
018 第十八回　　白猿藏表誆王禪　壽星分貼請仙侶
019 第十九回　　土仙二進金沙坑　白猿三盜裝仙盒
020 第二十回　　南極大破誅仙陣　海潮怒授攢天箭
021 第二十一回　　中法寶孫臏喪命　見柬帖毛遂下山
022 第二十二回　　變金霞計騙長眉　請盜跖鞭傷王翦
023 第二十三回　　二真人中寶歸天　廉小姐辭師回府
024 第二十四回　　秀英趙國封皇姑　孫臏燕營會姪媳
025 第二十五回　　明出葬孫臏定計　暗劫喪王翦被擒
026 第二十六回　　金蓮奉命助始皇　老母順天放王翦
027 第二十七回　　斬金蓮秀英弄術　敵海潮孫臏化身
028 第二十八回　　海潮擺設混元陣　毛遂私投地戶坑
029 第二十九回　　文通取救上韓國　劉邦帶醉踩秦營
030 第三十回　　海潮法遣壓神牌　孫臏計破混元陣
031 第三十一回　　羞敗怒擺鎖地雷　救急魔差紙人馬
032 第三十二回　　孫臏連破鎖雷陣　三教共設平齡會
033 第三十三回　　海潮祭炮取燕國　孫臏散兵回臨淄
034 第三十四回　　孫臏接母留齊國　田英痛父擊秦師
035 第三十五回　　巧聯姻田英遇救　暗排陣孫臏調兵
036 第三十六回　　龔國母連破法寶　金子陵幸脫重圍
037 第三十七回　　子陵焚香求老祖　孫臏作法困毛奔
038 第三十八回　　開神書毛奔擺陣　現真魂王翦行雷
039 第三十九回　　五雷陣陷困孫臏　一縷香報知毛遂
040 第四十回　　白猿尋仙請道祖　襄王金殿接神仙
041 第四十一回　　放命星以假混真　進秦營弄巧反拙
042 第四十二回　　反掌雷毛奔被擒　誆神書南極破陣
043 第四十三回　　戰南極海潮倚眾　放毛奔風火施威
044 第四十四回　　孫臏魔法鬧秦營　南極大擺聚仙陣
045 第四十五回　　法鬥法無當失徒　將對將秦氏折兵
046 第四十六回　　毛奔命喪臨淄城　海潮怒闖聚仙陣
047 第四十七回　　美容用術阻秦師　海潮再闖聚仙陣
048 第四十八回　　怒海潮連失法寶　莽鍾罄自踏仙坑
049 第四十九回　　眾仙鬥法敗無當　五雷施法困南極
050 第五十回　　群仙大戰金光陣　中華計取削花刀
051 第五十一回　　孫臏法盜龍須扇　東華夜劫鎖仙牢
052 第五十二回　　海潮二劫鎖仙牢　孫臏故失先天袋
053 第五十三回　　海潮三劫鎖仙牢　孫臏法遣泥神像
054 第五十四回　　孫臏幻術鬧秦營　中華大擺森羅陣
055 第五十五回　　毛遂被困森羅陣　孫臏大鬧五行台
056 第五十六回　　南極子八面攻陣　東方朔森羅遭殃
057 第五十七回　　西方朔陣中搶兄屍　觀世音賜瓶救仙命
058 第五十八回　　五小主破陣講和　南極子開牢釋怨
059 第五十九回　　南天門正神說情　五遁法無當遭險
060 第六十回　　孫臏葬母酬心願　秦皇得國應天時
