000 本書說明
001 第一回　　興宮室剪彩為花
002 第二回　　隋煬帝遊幸江都
003 第三回　　竇建德兵殺郭絢
004 第四回　　楊義臣掃清河北
005 第五回　　楊玄感兵起黎陽
006 第六回　　瓦崗寨群雄聚義
007 第七回　　翟讓李密據洛倉
008 第八回　　李密移檄數帝罪
009 第九回　　文靜世民議大事
010 第十回　　世民說李淵起兵
011 第十一回　　李淵遣使如突厥
012 第十二回　　唐兵大破宋老生
013 第十三回　　李淵合兵圍長安
014 第十四回　　李淵奉迎立代王
015 第十五回　　屈突通潼關射子
016 第十六回　　王世充東都救援
017 第十七回　　含嘉城秦瓊戰丘瑞
018 第十八回　　李密誘殺翟讓
019 第十九回　　化及江都弒煬帝
020 第二十回　　化及鴆殺少帝
021 第二十一回　　李淵受禪即帝位
022 第二十二回　　竇建德自立夏帝
023 第二十三回　　凌敬義說楊義臣
024 第二十四回　　冀州城麴稜降夏
025 第二十五回　　劉黑闥智賺范願
026 第二十六回　　化及招募眾豪傑
027 第二十七回　　范願大戰宇丞基
028 第二十八回　　聊城暗火燒倉庫
029 第二十九回　　義臣智破楊士覽
030 第三十回　　楊義臣遺書睡榻
031 第三十一回　　秦王北邙山射獵
032 第三十二回　　秦王被擒囚南牢
033 第三十三回　　徐世績私放秦王
034 第三十四回　　王世充借糧背德
035 第三十五回　　秦叔寶洛陽大戰
036 第三十六回　　魏徵四馬自投唐
037 第三十七回　　殷開山獨戰四將
038 第三十八回　　秦王十計羞李密
039 第三十九回　　劉武固定揚稱帝
040 第四十回　　宋金剛義釋張達
041 第四十一回　　元吉逃回長安城
042 第四十二回　　石州唐兵敗崇茂
043 第四十三回　　唐殺民部劉文靜
044 第四十四回　　廢越王世充篡隋
045 第四十五回　　李世績復歸大唐
046 第四十六回　　蘇世長結連朱粲
047 第四十七回　　世績雲遊訪叔寶
048 第四十八回　　秦叔寶棄鄭投唐
049 第四十九回　　叔寶污敬德畫像
050 第五十回　　郭孝恪謀退北虜
051 第五十一回　　世績大破王行本
052 第五十二回　　柏壁關唐劉大戰
053 第五十三回　　美良川秦王三跳澗
054 第五十四回　　敬德三鞭換兩鐧
055 第五十五回　　世績智取柏壁關
056 第五十六回　　唐兵介休燒糧草
057 第五十七回　　金剛敗走北突厥
058 第五十八回　　休城敬德詐降唐
059 第五十九回　　劉世讓謀殺武周
060 第六十回　　敬德舉介休降唐
061 第六十一回　　單雄信割袍斷義
062 第六十二回　　尉遲恭榆窠救主
063 第六十三回　　李世民興兵伐鄭
064 第六十四回　　竇建德興兵救鄭
065 第六十五回　　竇建德大戰唐兵
066 第六十六回　　建德敗走牛口谷
067 第六十七回　　楚朱粲醉烹段確
068 第六十八回　　尉遲恭怒擊妖婦
069 第六十九回　　李秦王平定東都
070 第七十回　　孝恭李靖破蕭銑
071 第七十一回　　劉黑闥反唐報仇
072 第七十二回　　黑闥箭射羅士信
073 第七十三回　　肥鄉城唐兵大戰
074 第七十四回　　建成平定河東府
075 第七十五回　　秦王謀據洛陽城
076 第七十六回　　秦王推刃同氣
077 第七十七回　　太宗代父即帝位
078 第七十八回　　李靖陰山破突厥
079 第七十九回　　玄武門奏七德舞
080 第八十回　　太宗廢太子承乾
081 第八十一回　　薛延陀納幣絕婚
082 第八十二回　　秦瓊含血噀敬德
083 第八十三回　　太宗教場定先鋒
084 第八十四回　　薛仁貴降服火龍
085 第八十五回　　唐太宗跨海征遼
086 第八十六回　　薛仁貴五箭取榆林
087 第八十七回　　摩天嶺三雄被戮
088 第八十八回　　李世績祭白玉山
089 第八十九回　　白岩城紅袍戰白袍
090 第九十回　　薛仁貴箭射飛刀
091 第九十一回　　高麗王輿櫬出降
092 第九十二回　　褚遂良叩頭流血
093 第九十三回　　武氏殺王后蕭妃
094 第九十四回　　薛仁貴三箭定天山
095 第九十五回　　廢中宗武后專權
096 第九十六回　　李敬業起兵匡復
097 第九十七回　　李孝逸兵敗敬業
098 第九十八回　　婁師德唾面自乾
099 第九十九回　　千騎奔斬李多祚
100 第一○○回　　誅韋后睿宗即位
101 第一○一回　　李太白立掃番書
102 第一○二回　　華陰李白倒騎騾
103 第一○三回　　安祿山范陽作反
104 第一○四回　　祿山計困顏杲卿
105 第一○五回　　真源令張巡起兵
106 第一○六回　　張巡縛草計取箭
107 第一○七回　　哥舒翰靈寶戰賊
108 第一○八回　　馬嵬驛楊氏伏誅
109 第一○九回　　張許協守雎陽城
110 第一一○回　　睢陽城張許死節
111 第一一一回　　駱悅殺賊史思明
112 第一一二回　　郭子儀大破吐蕃
113 第一一三回　　吐蕃回紇連入寇
114 第一一四回　　郭子權權重天下
115 第一一五回　　段秀實笏擊朱泚
116 第一一六回　　李晟斬汶復京城
117 第一一七回　　李希烈殺顏真卿
118 第一一八回　　陳仙奇毒殺希烈
119 第一一九回　　李瑀雪夜克蔡州
120 第一二○回　　韓文公上佛骨表
121 第一二一回　　韓文公雪擁藍關
122 第一二二回　　柳公權用筆諫帝
123 第一二三回　　王仙芝大寇荊南
