001 第一回　　隋文皇帶酒幸宮妃　獨孤後夢龍生太子
002 第二回　　飾名節盡孝獨孤　蓄陰謀交歡楊素
003 第三回　　正儲位謀奪太子　侍寢宮調戲宣華
004 第四回　　不發喪楊素弄權　三正位阿摩登極
005 第五回　　黃金盒賜同心　仙都宮重召入
006 第六回　　同釣魚越公恣志　撻宮人煬帝生嗔
007 第七回　　選美女越公強諫　受矮民王義淨身
008 第八回　　逞富強西域開市　擅兵戈薊北賦詩
009 第九回　　文皇死報奸雄　煬帝大窮土木
010 第十回　　東京陳百戲　北海起三山
011 第十一回　　泛龍舟煬帝揮毫　清夜遊蕭後弄寵
012 第十二回　　會花蔭妥娘邀寵　舞後庭麗華索詩
013 第十三回　　攜雲傍輦路風流　剪彩為花冬富貴
014 第十四回　　煬帝讀史修城　慶兒拯君魘夢
015 第十五回　　怨春偏侯夫人自縊　失佳人許廷輔被收
016 第十六回　　明霞觀李　北海射魚
017 第十七回　　袁寶兒賭歌博新寵　隋煬帝觀圖思舊游
018 第十八回　　耿純臣奏天子氣　蕭懷靜獻開河謀
019 第十九回　　麻叔謀開河　大金仙改葬
020 第二十回　　留侯廟假道　中牟夫遇神
021 第二十一回　　狄去邪入深穴　皇甫君擊大鼠
022 第二十二回　　美女宮中春試馬　奸人林內夜逢魑
023 第二十三回　　陶榔兒盜小兒　段中門阻諫奏
024 第二十四回　　司馬施銅刑懼佞　偃王賜國寶愚奸
025 第二十五回　　王弘議選殿腳女　寶兒賜司迎輦花
026 第二十六回　　虞世南詔題詩　王令言知不返
027 第二十七回　　種楊柳世基進謀　畫長黛絳仙得寵
028 第二十八回　　木鵝開河　金刀斬佞
029 第二十九回　　靜夜聞謠　清宵玩月
030 第三十回　　幸迷樓何稠獻車　賣荔枝二仙警帝
031 第三十一回　　任意車處女試春　烏銅屏美人照豔
032 第三十二回　　方士進丹藥　宮女競冰盤
033 第三十三回　　王義病中引諫　雅娘花下被擒
034 第三十四回　　賜光綾蕭後生妒　不薦寢羅羅被嘲
035 第三十五回　　來夢兒車態怡君　裴玄真宮人私侍
036 第三十六回　　下西河世民用計　賜雙果絳仙獻詩
037 第三十七回　　水飾娛情　鑒形失語
038 第三十八回　　觀天象袁克進言　陳治亂王義死節
039 第三十九回　　宇文謀君　貴兒罵賊
040 第四十回　　弒寢宮煬帝死　燒迷樓繁華終
