001 第一回　　避嚴親畏罪走他鄉　入深山窮途遇劍客
002 第二回　　童海川下山初試藝　探雙親風雪入京師
003 第三回　　識好漢五小鬧王府　會英雄老俠探虛實
004 第四回　　赴約會地壇拜老俠　戰賀豹二結一掌仇
005 第五回　　遭奇禍海川打官司　遇釋放限期捕盜賊
006 第六回　　識英雄義結鐵掌李　盜寶賊行刺雍親王
007 第七回　　童海川收徒李家店　侯振遠應邀巢父林
008 第八回　　法禪僧踩街顯威風　童海川打擂見神功
009 第九回　　討鏢銀蘇州逢於恒　請南俠廟中遇仇人
010 第十回　　飛龍觀夜趕喬玄齡　北高峰二次杭州擂
011 第十一回　　秋佩雨力戰眾俠客　童海川雙鉞分雙劍
012 第十二回　　雍親王化嫌了爭端　借祝壽夜探清雲寨
013 第十三回　　釋三寇火燒清雲寨　賀美號簪花靈隱寺
014 第十四回　　楊家莊姑舅喜重逢　火神廟父子痛相認
015 第十五回　　司馬良招親三義莊　洪炳南闔家慶團圓
016 第十六回　　老劍客鬆林管閒事　李士鈞落難常德府
017 第十七回　　遇捕快白潔遭奇冤　逞英雄陸滾喪功房
018 第十八回　　喪良心行刺神槍李　捉淫賊奮勇上湖南
019 第十九回　　以怨報德鏢打李英　惡貫滿盈難逃法網
020 第二十回　　清竹塘四寇劫囚車　龍潭鎮於老訪雙俠
021 第二十一回　　戰沅江西俠殺四魚　亂石島東俠敗三鼠
022 第二十二回　　誇海口夜入達摩堂　施絕藝三俠闖五門
023 第二十三回　　破機關智勇數三俠　達摩堂地道走四寇
024 第二十四回　　失信義九寨主喪命　潛水中於老俠擒賊
025 第二十五回　　下請帖邀請眾豪俠　甘家堡幸會甘鳳池
026 第二十六回　　甘家堡真假童林會　小俠客得遇王十古
027 第二十七回　　展家林拜訪展大旺　麒麟山用計捉墨魚
028 第二十八回　　青草坡英雄打猛虎　懶龍溝於恒遇至親
029 第二十九回　　亂中亂雙猛攪重陽　強中強群俠看和尚
030 第三十回　　鐵善寺暗伏十絕計　戰月台雙猛殺四寨
031 第三十一回　　洪玉耳智燒老閻成　西方俠掌打濟源僧
032 第三十二回　　鐵善寺群俠戰濟慈　白玉虎大意丟龍批
033 第三十三回　　小俠客風雪下書信　三勇士夜闖八卦山
034 第三十四回　　老劍客戲耍眾莊主　赴廣東十老請八卦
035 第三十五回　　司馬空八卦山投書　童海川比八步打燈
036 第三十六回　　八卦掌巧打太極圖　望雲亭奮勇拿二小
037 第三十七回　　司徒朗逃往大西洋　田子步窺視玲瓏島
038 第三十八回　　誓同心夜探玲瓏島　逢絕地幸喜遇恩師
039 第三十九回　　四劍客會破玲瓏島　西方俠潛江擒二小
040 第四十回　　蜜蜂嶺傳藝贈寶劍　桑家林大戰司徒朗
041 第四十一回　　康熙帝赦免童海川　鐵木金落腳北京城
042 第四十二回　　鐵木金劫道遇官人　為生存長街賣牛肉
043 第四十三回　　老劍客留箋救清官　童海川夜捉害民賊
044 第四十四回　　慈父心三次饒林寶　豺狼子毒鏢打恩師
045 第四十五回　　尋兇手千里入京師　收弟子征服鐵羅漢
046 第四十六回　　清真寺海川會篩海　僧道俗三次比神功
047 第四十七回　　北口外丟鏢結義氣　護國寺收徒惹是非
048 第四十八回　　教師府掌打焦秋華　遇強敵拋鉞亮寶劍
049 第四十九回　　鬧鏢局行刺童海川　謁師祖巧遇野飛龍
050 第五十回　　喪良心燕雷打甘虎　丟煙壺童林鬥三俠
051 第五十一回　　除舊歲師徒同獻藝　過新春師兄巧相逢
052 第五十二回　　童海川揚名燈市口　武雲飛傷人隆福寺
053 第五十三回　　跳寶局威鎮沙雁嶺　三月三齊赴鬆棚會
054 第五十四回　　鐵羅漢台上勝十杰　童海川惡鬥野飛龍
055 第五十五回　　童海川掌震燕子坡　西方俠巧奪蛇骨鞭
056 第五十六回　　眾群俠會戰燕雲風　老劍客親臨梅花圈
057 第五十七回　　分雙劍驚走燕雲風　保欽差查辦蓬萊島
058 第五十八回　　清苑縣馬俊單行刺　風雲莊義結鄧九公
059 第五十九回　　夏九齡荒寺遭毒手　病太歲府衙顯奇能
060 第六十回　　訪賊人巧遇陳道常　三皇觀搭救夏九齡
061 第六十一回　　小豪傑九趕陳道常　大魔莊巧遇親娘舅
062 第六十二回　　石寶奎掌震三尺鬼　夏九齡招親石家鎮
063 第六十三回　　小白猿石府學絕技　念舊義奮勇覓金牌
064 第六十四回　　報父仇王環施英勇　劈楊山鏢打段世寶
065 第六十五回　　年欽差夜審梁妙興　七星山三俠討金牌
066 第六十六回　　童海川斗膽闖三關　小白猿如願捉董玉
067 第六十七回　　小白猿夜進七星山　遭兇險得遇愛賢女
068 第六十八回　　愛賢女釋嫌許終身　司馬良遇險轉心亭
069 第六十九回　　蓮花觀弟兄巧相逢　西風寺尋找擺亭人
070 第七十回　　童海川月台戰秋禪　慧斌僧學藝山神廟
071 第七十一回　　童海川月下會三俠　駱駝嶺智誆趙小喬
072 第七十二回　　駱駝嶺巧得赤金牌　碧霞僧行道黃土坡
073 第七十三回　　莽和尚大鬧盤石島　花子羽搭救碧霞僧
074 第七十四回　　見金牌真假難分辨　遇王環火焚轉心亭
075 第七十五回　　童海川雙鉞敗三寇　西方俠鐵掌打五虎
