001 第一回　　漢帝得夢選妃　奸相貪財逼美
002 第二回　　太守被責獻女　昭君用計辱奸
003 第三回　　美人圖奸臣點痣　魯家莊金定掉包
004 第四回　　使奸計太守被誑　苦分離昭君上路
005 第五回　　獻圖謊奏惑君　妒美追舟遇貶
006 第六回　　真冷宮昭君受苦　假聖旨太守充軍
007 第七回　　彈琵琶月洞相思　歎五更冷宮訴怨
008 第八回　　王太守遼東受軍棍　漢天子越州召皇親
009 第九回　　王嬙病纏冷宮　姚氏分娩遼東
010 第十回　　坐孤燈思想漢天子　開科選取中劉狀元
011 第十一回　　見西瓜吟詩散悶　踏夜月憶古傷情
012 第十二回　　鳳凰台林後聽琵琶　望月樓昭君會皇后
013 第十三回　　唆天子正宮暗聽　打西宮魯妃吃驚
014 第十四回　　分宮亭皇后白冤　王昭君冷宮訴怨
015 第十五回　　真昭君親見漢王　勇李陵鎖捉奸臣
016 第十六回　　毛相拐圖逃走　魯妃仇報自盡
017 第十七回　　東教場抄斬毛門　西宮裡初整鸞衾
018 第十八回　　出邊關奸相裝醉漢　到番邦延壽找門生
019 第十九回　　召王忠總兵趨炎附勢　造相府太守進爵加官
020 第二十回　　獻昭君圖挑番王　進啞謎詩難漢主
021 第二十一回　　劉狀元看破番詩　單于國大興人馬
022 第二十二回　　彭總兵失機敗陣　李元帥奉旨征番
023 第二十三回　　李陵敗石家父子　吳鑾差左右先鋒
024 第二十四回　　智困李陵遭活捉　急差都督起救兵
025 第二十五回　　百花女怒殺番將　石慶真暗箭傷人
026 第二十六回　　報妻仇李虎陣亡　踹番營老將交兵
027 第二十七回　　困番邦李陵不屈　說忠良番相受辱
028 第二十八回　　美人計哄忠臣　李陵忿羞公主
029 第二十九回　　公主含羞全節　忠臣盡義輕生
030 第三十回　　虎牙口忠臣立碑　雁門關蘇武和番
031 第三十一回　　大小逼衛律遭辱罵　風雪嶺蘇武牧羝羊
032 第三十二回　　蘇武軟困飛來洞　番王病想王昭君
033 第三十三回　　延壽探病獻計　番王臨朝發兵
034 第三十四回　　婁相掛帥操人馬　甘奇比武奪先鋒
035 第三十五回　　盤陀山妖仙逞異術　番元帥單騎請軍師
036 第三十六回　　攻雁門李廣斬甘奇　擺異陣妖術困漢將
037 第三十七回　　現白虎大敗李廣　放火龍燒破雁門
038 第三十八回　　金雀關趙英救李廣　水晶球妖仙打漢將
039 第三十九回　　張玉龍中計失銀燕　黃崇虎被寶走鐵鴉
040 第四十回　　渡黃河妖風吹戰艦　圍京城怪石衝漢兵
041 第四十一回　　漢帝嚇倒金鑾殿　張相獻計假昭君
042 第四十二回　　番人班師歸本國　大封功臣見美人
043 第四十三回　　對圖畫假美露破綻　指真形延壽進佞言
044 第四十四回　　二犯雁門驚魂膽　一紙戰書逼美人
045 第四十五回　　保江山苦舍昭君　和番邦哭別天子
046 第四十六回　　辭父母十分難捨　拜皇后萬箭攢心
047 第四十七回　　收御弟文龍賜姓　哭西宮昭君換服
048 第四十八回　　芙蓉嶺王龍和新詩　太行山土地逐大蟲
049 第四十九回　　雪擁馬蹄見學士心　眼盼雁門譜昭君曲
050 第五十回　　出雁門昭君自恨　思鄉里王龍吟詩
051 第五十一回　　寫血書征鴻寄信　看雁翅天子傷情
052 第五十二回　　黑水河談詩矢名節　九姑廟得夢贈仙衣
053 第五十三回　　單于城昭君約三事　銀安殿番王宴天使
054 第五十四回　　昭君智哄番邦主　王龍計下蒙昏藥
055 第五十五回　　報冤仇怒斬延壽　仗仙衣嚇住番王
056 第五十六回　　欲全名節說假夢　要還心願造浮橋
057 第五十七回　　救忠臣蘇武回朝　找丈夫猩猩追舟
058 第五十八回　　彈琵琶帶病思鄉　囑御弟含悲生別
059 第五十九回　　深宮夜坐苦怨漢王　浮橋燒香悲訴求神
060 第六十回　　斷腸詩猿啼鵑唳　洋河水玉暗香沉
061 第六十一回　　見凶兆哭倒番王　賜金銀贈送天使
062 第六十二回　　教授哭祭白洋口　昭君魂返芙蓉嶺
063 第六十三回　　昭君魂怨失約事　王龍面訴和番情
064 第六十四回　　百鳥護屍收仙衣　滿朝送葬遇國丈
065 第六十五回　　漢天子初見賽昭君　長朝殿加封劉教授
066 第六十六回　　教授衣錦還鄉　國丈給養續婚
067 第六十七回　　痛王嬙皇親思女　游花園九姑傳法
068 第六十八回　　林皇后得病歸天　賽昭君續姻為後
069 第六十九回　　掌昭陽哭祭芙蓉嶺　想冤勸伐征單于國
070 第七十回　　漢王懶征北地　番主思奪國寶
071 第七十一回　　土金渾入寇雁門　漢李廣大破番兵
072 第七十二回　　報宿仇老將施威　請救兵二王掛帥
073 第七十三回　　番僧寶傷漢將　皇后勸駕親征
074 第七十四回　　掛先鋒鐵花自請令　打頭陣金渾落陷坑
075 第七十五回　　破妖法異獸現形　踹番營二王被捉
076 第七十六回　　破城番王哭求　顯靈昭君討情
077 第七十七回　　收降書准赦番王　看碑文親祭忠臣
078 第七十八回　　奏凱歌苦祭昭君　還天朝大封功臣
079 第七十九回　　猩娘中國寄子　蘇武早朝請封
080 第八十回　　得佳夢始終異兆　生太子慶賀團圓
