000 序
001 第一回　　煙水蒼茫　雙槳淩波人似玉<br>　　風塵奔蕩　扁舟剪燭夜如年
002 第二回　　佳麗關心　亭中卜卦<br>　　鴿原在念　湖上回航
003 第三回　　駭浪挽危舟　江女酬恩施絕技<br>　　粗心驚失錯　蘇翁臨難托遺孤
004 第四回　　聞變哭良朋　山館傷心風定後<br>　　踐言攜淑女　馬蹄亂踏月明歸
005 第五回　　古樹斜陽　踏浪行波逢異士<br>　　幽崖密莽　飛虹掣電敗凶僧
006 第六回　　聞鍾驚絕豔　月明林野鬥嬋娟<br>　　返裏省慈親　谷暗峽荒誅惡獸
007 第七回　　深機密阱　伏莽刺清官<br>　　除暴安良　中途驚丑類
008 第八回　　行波踏竹　一神童大雨戲鏢師<br>　　掣電飛芒　諸劍客荒山殲巨寇
009 第九回　　破金鈸　凶僧授首<br>　　伏白刃　巨盜輕生
010 第一○回　　活火烹茗　深山來舊雨<br>　　只雞鬥酒　古廟戲神偷
011 第一一回　　舐犢情深　空山強俠女<br>　　原鴿念切　暗語托神童
012 第一二回　　勝地揮金　黑摩勒初逢異丐<br>　　開門揖盜　小鐵猴再戲好人
013 第一三回　　志苦情真　長路遄征急友難<br>　　言甘幣重　假名拜敘肆凶謀
014 第一四回　　危崖夜燈紅　失路無心遭巨寇<br>　　荒山涼月白　窮途遇救見高人
015 第一五回　　黑摩勒三探女丐村<br>　　老少年兩試劈空掌
016 第一六回　　閑窺秘隱　無意得仙兵<br>　　假作癡呆　有心擒巨寇
017 第一七回　　石洞獲藏珍　夜月荒村尋俠女<br>　　酒樓逢刺客　平林古渡戮神奸
018 第一八回　　嘯侶命儔　眾佳俠山中赴會<br>　　奇能絕技　諸異丐臺上施威
019 第一九回　　會花村　群英打擂<br>　　誅惡黨　異丐施威
020 第二○回　　正勝邪消　天外來佳俠<br>　　虹飛電舞　場中見異人
021 第二一回　　明月照禪關　千尺高林騰蛇影<br>　　遙空馳雪羽　一聲長嘯落胎仙
022 第二二回　　絕壑耀奇輝　氛霧若雲迷海色<br>　　腥香收毒物　獸蟲如織赴鯨吞
023 第二三回　　燔松炙虎　巧計戲凶僧<br>　　絕頂飛身　淩空揮鐵掌
024 第二四回　　連袂探奇　入洞尋異士<br>　　罡風禦寇　擘腹見藏珍
025 第二五回　　絕頂夜棲身　水氣沉冥風雨惡<br>　　奇珍初海盜　雲濤浩蕩劍光寒
026 第二六回　　暗霧竄荒山　古寺疏鍾　驚聞密語<br>　　深宵焚盜窟　花塢野火　怒失霜鐔
027 第二七回　　旗幟誰家　萬頃滄波驚遠棹<br>　　江山如畫　千行楊柳坐垂綸
028 第二八回　　長笛聽飛聲　江渚月明　同傾旨酒<br>　　前宵穿秘甬　山中雷雨　再遇高人
029 第二九回　　駭浪隔前舟　鐵槳穿波逢異士<br>　　荒林尋古寺　霜華滿地識危機
030 第三○回　　踏月訪幽居　野寺欣逢山澤隱<br>　　穿波誅巨寇　洞蕭聲徹水雲鄉
031 第三一回　　林中尋異士　香光十里舞胎禽<br>　　湖底斬凶蛟　駭浪千重飛劍氣
032 第三二回　　逆水鬥凶蛟　電掣虹飛　獨援弱女<br>　　頹波明夕照　離長會短　互贈刀環
033 第三三回　　萬頃縠紋平　何處巨魚翻白浪<br>　　孤舟風雨惡　有人半夜閃紅燈
034 第三四回　　勝跡記千年　後樂先憂　名言不朽<br>　　黑風飛萬丈　窮山暗谷　奇險連經
035 第三五回　　長嘯月中來　豕突狼奔驚獸陣<br>　　高人今不在　花團錦簇隱幽居
036 第三六回　　遠水碧連空　甫學冥鴻逃矰繳<br>　　斜陽紅欲暮　忽驚鳴鏑渡流星
037 第三七回　　無計托微波　一往癡情投大藥<br>　　孤身懸絕壁　千重彩霧湧明珠
038 第三八回　　念切民生　尊榮成敝屣<br>　　居安樂土　憂患驚危機
039 第三九回　　良夜月華明　火樹銀花　翻成血海<br>　　亂山風雨惡　孤臣孽子　喜遇英俠
040 第四○回　　蕭寺棲身　荒林斃寇<br>　　飛刀斷臂　絕處逢生
041 第四一回　　朗月照孤篷　母病滄江　復驚盜劫<br>　　深山穿暗霧　重逢良友　喜見珠明
042 第四二回　　壯志切民生　事業千秋　當從此始<br>　　香光浮月影　清言永夕　相與同行
043 第四三回　　高處可勝寒　暗霧危峰尋野老<br>　　罡風吹不墮　飛丸走石儆雄奸
044 第四四回　　山深谷險　獨鬥淫凶<br>　　電射星飛　小傷巨寇
045 第四五回　　叢桂吐奇盤　滿眼秋光明夜月<br>　　綿雲鋪大海　幾聲猿嘯起遙峰
