001 飛花詠 11163 第一回 　　賢父母姻聯才與貌　俏孩提緣弄性兼情
002 飛花詠 11164 第二回 　　昌秀才遭祖籍戍邊　杜娘子隨夫軍出塞
003 飛花詠 11165 第三回 　　夫妻涉險忍割愛棄孤兒　親戚尋歡忽遭奸攘幼女
004 飛花詠 11166 第四回 　　大強盜劫奪算越奸越拙　小兒女飛花詠愈出愈奇
005 飛花詠 11167 第五回 　　秀才軍出奇計一時遭際　兒女情再題詩對面勾挑
006 飛花詠 11168 第六回 　　言情說義花下訂盟　遭惡逢恩途中過繼
007 飛花詠 11169 第七回 　　唐希堯忍苦時遭惡姪生磨　昌天佑無心中救親人落難
008 飛花詠 11170 第八回 　　昌小姐女思男悲吟一曲　端公子男思女痛哭多時
009 飛花詠 11171 第九回 　　香奩才女代傲父做真壽文　絳帳庸師為愚徒集假家課
010 飛花詠 11172 第十回 　　端郎閱報驚流離相思欲死　昌女評文疑盜襲鑒拔如神
011 飛花詠 11173 第十一回 　　題詞寫恨忽遺失露出幽情　行聘求婚乍聞知驚成死病
012 飛花詠 11174 第十二回 　　昌小姐苦在心頭甘死節　周總兵變生意外悄移花
013 飛花詠 11175 第十三回 　　唐希堯遭姪害流落到他鄉　昌天佑賴友扶錦衣歸故里
014 飛花詠 11176 第十四回 　　老知縣性傲一朝歸　小榜眼才高三及第
015 飛花詠 11177 第十五回 　　遭遷御史苦思君遠塞得生還　改姓貴人不忘舊中堂抵死認
016 飛花詠 11178 第十六回 　　飛花詠夫妻小會合　玉雙魚父母大團圓
