000 本書說明
001 第一回　　苗訓設相遇真龍　匡胤遊春騎泥馬
002 第二回　　配大名竇公款洽　遊行院韓妓殷勤
003 第三回　　趙匡胤一打韓通　勾欄院獨坐龍椅
004 第四回　　伸己忿雹打御院　雪父讎血濺花樓
005 第五回　　趙匡胤救解書生　張桂英得配英主
006 第六回　　赤鬚龍山莊結義　綠鬢娥蘭室歸陰
007 第七回　　柴榮販傘登古道　匡胤割稅鬧金橋
008 第八回　　算油梆苗訓留詞　拔棗樹鄭恩救駕
009 第九回　　黃土坡義結金蘭　獨龍莊計謀虎狼
010 第十回　　鄭子明計除土寇　趙匡胤力戰裙釵
011 第十一回　　董美英編謎求婚　柴君貴懼禍分袂
012 第十二回　　篤朋情柴榮贈衣　嚴國法鄭恩驗面
013 第十三回　　柴君貴過量生災　鄭子明擅權發貨
014 第十四回　　為資財兄弟絕義　因口腹兒女全生
015 第十五回　　孟家莊勇士降妖　首陽山征人失路
016 第十六回　　史魁送柬識真主　匡胤宿廟遇邪魑
017 第十七回　　褚玄師求丹療病　陳摶祖設棋輸贏
018 第十八回　　賣華山千秋留跡　送京娘萬世英名
019 第十九回　　匡胤正色拒非詞　京娘陰送酬大德
020 第二十回　　真命主戲醫啞子　宋金清驕設擂臺
021 第二十一回　　馬長老雙定奇謀　趙大郎連誅賊寇
022 第二十二回　　柴君貴窮途乞市　郭彥威剖志興王
023 第二十三回　　匡胤嘗桃降舅母　杜公抹穀逢外甥
024 第二十四回　　赤鬚龍義靖村坊　母夜叉計和甥舅
025 第二十五回　　杜二公納諫歸正　真命主違數罹災
026 第二十六回　　五索州英雄復會　興隆莊兄弟重逢
027 第二十七回　　鄭恩遺像鎮村坊　匡胤同心除妖魅
028 第二十八回　　鄭恩無心擒獵鳥　天祿有意搶龍駒
029 第二十九回　　平陽鎮二打韓通　七聖廟一番伏狀
030 第三十回　　柴榮薦朋資帷幄　弘肇被譖陷身家
031 第三十一回　　郭彥威禪郡興兵　高懷德滑州鏖戰
032 第三十二回　　高行周夜觀星象　蘇鳳吉聳駕喪軍
033 第三十三回　　李太后巡覓儲君　郭元帥襲位大統
034 第三十四回　　王子讓辭官養母　趙匡胤避暑啖瓜
035 第三十五回　　趙匡胤博魚繼子　韓素梅守志逢夫
036 第三十六回　　再博魚計賺天祿　三折銼義服韓通
037 第三十七回　　百鈴關盟友談心　監軍府元帥賠禮
038 第三十八回　　龍虎聚禪州結義　風雲會山舍求賢
039 第三十九回　　匡胤射龍解水厄　鄭恩問路受人欺
040 第四十回　　鄭子明惱打園公　陶三春揮拳服漢
041 第四十一回　　苗訓斷數決魚龍　匡胤憐才作媒妁
042 第四十二回　　柴榮進位續東宮　太祖非罪縛金鑾
043 第四十三回　　苗訓決算服柴榮　王朴陳詞保匡胤
044 第四十四回　　宋太祖帶罪提兵　杜二公挈眾歸款
045 第四十五回　　杜二公納婿應運　高行周遣子歸鄉
046 第四十六回　　高行周刎頸報國　趙匡胤克敵班師
047 第四十七回　　劉崇兵困潞州城　懷德勇取先鋒印
048 第四十八回　　高懷德智取天井　宋太祖力戰高平
049 第四十九回　　丁貴力戰高懷德　單珪計困趙匡胤
050 第五十回　　單珪覆沒蛇盤谷　懷德被困鐵籠原
051 第五十一回　　馮益鼓兵救高將　楊業決水淹周師
052 第五十二回　　真命主爵受王位　假響馬路阻新人
053 第五十三回　　陶三春職兼內外　張藏英策靖邊隅
054 第五十四回　　王景分兵襲馬嶺　向訓建策取鳳州
055 第五十五回　　課武功男女較射　販馬計大鬧金陵
056 第五十六回　　楊仙人土遁救主　文長老金鐃傷人
057 第五十七回　　鄭子明斬將奪關　高懷亮貪功殞命
058 第五十八回　　韓令坤擒剮孟俊　李重進結好永德
059 第五十九回　　劉仁贍全節完名　南唐主臣服納貢
060 第六十回　　絕聲色忠諫滅寵　應天人承歸正統
