001 第一回　　賞梅花俠概詩才並見　舞寶劍鬼謀蠍計前來
002 第二回　　榻懸香積誰憐遷客是仙才　詩和齊紈不惜改裝尋吉士
003 第三回　　奇女子因奇夢得遇奇緣　傲書生逢傲才全消傲骨
004 第四回　　醉公子何來月下驚人　憶多嬌只為樓中斷句
005 第五回　　忠臣陷虎坑願作刀頭之鬼　淑女投豸史暫為幕府之賓
006 第六回　　有心一見傾心認真成假　睹面幾曾識面因舊逢新
007 第七回　　東床坦腹願天速變男兒　西閣談心對月宜聯姊妹
008 第八回　　假偏遇假一首詩窺破機關　痴復逢痴三杯酒旋成奸計
009 第九回　　金玉代傾為良友得逢聖主　琵琶別抱恨奸朋忽奔佳人
010 第十回　　假名嬌客相逢頂替春元　無義相公巧值多言銀鹿
011 第十一回　　對面不相逢暗暗傳知消息　笑談來竊聽明明說出根由
012 第十二回　　白丁公子狗洞裡思食天鵝　青眼泰山龍座前求婚丹鳳
013 第十三回　　擔水賣人奸兵部當場遺丑　命題限韻聖天子枉駕為媒
014 第十四回　　三軍奏凱方表是男兒　一疏朝天始成為俠烈
015 第十五回　　是是非非二小姐千般巧計　顛顛倒倒兩狀元滿腹疑心
016 第十六回　　打破疑團舊朋友與新朋友一家完聚　參通妙想大姨夫共小姨夫兩姓姻緣
