001 第一回　　論房屋寓民族主義　敘天倫動巾幗感情
002 第二回　　譬觸電激發思想　因看會疑擾病魔
003 第三回　　夢中授讀英雄傳　天外飛來縲紲災
004 第四回　　借風使篷圖得倖福　隨案了事買到便宜
005 第五回　　黃通理初訪張先生　官媒婆說起禍根子
006 第六回　　議捐款張先生轉圜　考決科黃通理應課
007 第七回　　闡講義乘涼吃西瓜　辦學堂抗言懷北美
008 第八回　　黃繡球遇弟拜姊妹　張先生扶病送文書
009 第九回　　申見解夫婦看文章　定主意慷慨發議論
010 第十回　　演說怪象抉盡弊端　感觸親情陳其原委
011 第十一回　　兩番行期真情始露　一個陣勢奸計又來
012 第十二回　　張先生無端犯奸案　黃繡球忽然信尼姑
013 第十三回　　論鬼神善破迷信　拜觀音假托荒唐
014 第十四回　　曲曲折折做成一件事　光光蕩蕩收了兩個人
015 第十五回　　造假信不害真事業　出新法教作女先兒
016 第十六回　　敲鏜鑼王老娘說書　擬匾額黃通理勸學
017 第十七回　　景福堂內四人聚談　陳鄉紳家二次做壽
018 第十八回　　因女醫竟聯同志　開慶祝待賞中秋
019 第十九回　　預備報名議定規則　連番看病引出奇談
020 第二十回　　買棺材錢莊上打架　守靈柩孝堂裡尋人
021 第二十一回　　陳膏芝居喪鬧賊　黃繡球開會談心
022 第二十二回　　平等平權講正經理路　五千五萬打如意算盤
023 第二十三回　　開學吃酒王老娘首座　丁憂謀差陳膏芝心慌
024 第二十四回　　黃繡球勸導學生　李太史進談公事
025 第二十五回　　添學校改拆祠堂　為愛女托薦師傅
026 第二十六回　　好官得力內外打通　秀才談心情形可笑
027 第二十七回　　施老爺實心為地方　張先生誓願開風氣
028 第二十八回　　自由村拖出豬大腸　文曲星翻成新局面
029 第二十九回　　黃禍出場大為闖禍　委員查案還算能員
030 第三十回　　伸民權公議獨立　歸夢境暫束全書
